统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,200002,108,97,大客车,11.81,41.40,40.48,0.01,86.06,7.65
1,200003,83,73,小客车,4.73,54.60,54.27,0.00,215.51,14.29
1,200005,101,89,小客车,4.22,44.50,44.40,0.00,260.35,21.11
1,200015,137,100,小客车,4.08,41.60,41.38,0.00,167.49,14.57
1,200016,124,87,小客车,4.39,47.80,47.35,0.00,168.56,12.82
1,200018,144,102,小客车,4.04,40.70,39.57,0.00,75.30,6.85
1,200021,148,104,小客车,4.01,40.20,37.87,0.01,50.70,4.82
1,200024,158,112,小客车,4.11,42.10,40.19,0.00,62.41,5.59
1,200030,162,108,小客车,4.03,40.50,38.22,0.01,51.32,4.83
1,200031,152,96,小客车,4.54,50.80,39.34,0.00,29.57,2.71
1,200032,173,111,小客车,4.08,41.50,40.34,0.00,79.68,7.11
1,200036,165,101,小客车,4.91,58.10,38.84,0.00,25.28,2.34
1,200037,176,110,小客车,4.64,52.90,39.89,0.02,28.70,2.59
1,200043,178,95,小客车,4.92,58.30,39.22,0.00,25.65,2.35
1,200044,188,104,小客车,4.17,43.40,38.32,0.01,37.42,3.52
1,200045,181,96,小客车,4.83,56.50,39.03,0.00,25.94,2.39
1,200046,184,99,小客车,4.60,52.00,38.97,0.01,27.87,2.57
1,200051,209,115,小客车,4.11,42.10,41.22,0.01,82.30,7.19
1,200053,195,96,小客车,4.42,48.40,45.91,0.00,70.64,5.54
1,200054,216,114,小客车,4.34,46.90,44.91,0.00,74.42,5.97
1,200056,229,121,小客车,4.04,40.80,39.89,0.01,80.69,7.28
1,200057,198,88,小客车,4.88,57.50,47.44,0.00,39.67,3.01
1,200060,236,118,小客车,4.79,55.90,45.54,0.00,38.19,3.02
1,200063,223,103,小客车,4.73,54.60,46.02,0.00,39.80,3.11
1,200065,232,109,小客车,5.00,60.00,39.82,0.01,25.72,2.33
1,200066,249,126,小客车,4.02,40.40,37.96,0.01,49.42,4.69
1,200067,241,116,小客车,4.13,42.60,41.02,0.00,67.72,5.94
1,200068,245,119,小客车,4.37,47.30,40.15,0.02,35.08,3.14
1,200073,275,146,小客车,4.02,40.40,39.45,0.01,76.93,7.02
1,200077,253,114,小客车,4.36,47.10,38.72,0.00,31.89,2.96
1,200080,261,119,小客车,4.54,50.90,46.68,0.00,57.14,4.41
1,200083,256,106,小客车,4.60,52.00,40.47,0.00,30.75,2.74
1,200096,265,100,小客车,4.70,53.90,45.96,0.00,40.87,3.20
1,200098,269,97,小客车,4.57,51.30,46.45,0.00,50.68,3.93
1,200121,291,85,小客车,4.61,52.10,51.49,0.00,173.50,12.13
1,300006,69,39,小客车,4.89,57.90,57.82,0.01,997.55,3600.00
1,300014,203,163,小客车,4.87,57.30,51.92,0.00,58.98,4.09
1,300020,219,165,小客车,4.71,54.30,46.43,0.00,42.12,3.27
2,200082,428,279,小客车,4.03,40.50,38.37,0.01,52.88,4.96
2,200086,415,263,小客车,4.20,44.00,40.38,0.00,46.73,4.17
2,200088,404,250,小客车,4.15,43.00,39.95,0.02,48.19,4.34
2,200093,408,249,小客车,4.28,45.50,40.19,0.00,39.56,3.54
2,200100,301,127,小客车,4.92,58.40,57.26,0.00,140.73,8.85
2,200102,423,242,大客车,12.01,43.10,41.80,0.00,80.23,6.91
2,200107,434,246,小客车,4.22,44.50,42.00,0.00,59.86,5.13
2,200108,325,136,小客车,4.30,46.10,41.25,0.01,42.24,3.69
2,200112,357,168,小客车,4.36,47.20,46.36,0.01,108.52,8.43
2,200114,396,202,小客车,4.63,52.50,43.28,0.00,36.32,3.02
2,200115,400,205,小客车,4.42,48.50,42.76,0.00,41.88,3.53
2,200116,321,125,小客车,4.11,42.20,42.09,0.00,209.85,17.95
2,200120,600,396,小客车,4.07,41.30,39.68,0.11,79.00,7.17
2,200123,329,120,小客车,4.10,42.00,39.16,0.01,48.50,4.46
2,200128,333,117,小客车,4.08,41.60,37.74,0.02,40.62,3.88
2,200130,308,90,小客车,4.97,59.40,57.09,0.00,94.33,5.95
2,200132,337,117,小客车,4.39,47.90,37.96,0.00,29.22,2.77
2,200135,341,119,小客车,4.61,52.10,44.39,0.00,41.30,3.35
2,200141,349,118,小客车,4.89,57.90,50.11,0.00,47.53,3.42
2,200143,345,112,小客车,4.75,55.10,48.28,0.00,48.41,3.61
2,200145,568,332,小客车,4.51,50.30,48.30,0.00,87.26,6.50
2,200147,367,130,小客车,4.26,45.30,42.77,0.02,56.87,4.79
2,200149,370,132,小客车,4.86,57.10,43.38,0.00,31.66,2.63
2,200151,381,137,小客车,4.29,45.90,43.04,0.00,56.53,4.73
2,200152,386,140,大客车,11.99,42.95,40.14,0.02,51.75,4.64
2,200155,373,126,小客车,4.67,53.50,43.39,0.00,34.75,2.88
2,200157,554,304,小客车,4.07,41.40,40.34,0.00,83.31,7.43
2,200158,411,153,小客车,4.79,55.70,40.14,0.00,27.61,2.48
2,200159,390,130,小客车,4.36,47.10,40.81,0.00,37.99,3.35
2,200167,393,119,小客车,4.89,57.90,40.84,0.00,27.60,2.43
2,200179,535,249,小客车,4.00,40.10,36.71,0.01,41.45,4.06
2,200181,543,253,小客车,4.18,43.60,38.29,0.00,37.05,3.48
2,200184,466,173,小客车,4.65,53.00,49.93,0.00,69.54,5.01
2,200185,478,182,小客车,4.67,53.30,51.61,0.00,93.19,6.50
2,200190,451,150,小客车,4.76,55.20,54.58,0.00,190.70,12.58
2,200196,578,269,小客车,4.09,41.90,39.84,0.01,57.61,5.21
2,200204,458,130,小客车,4.43,48.70,47.72,0.01,100.66,7.59
2,200205,485,157,小客车,4.49,49.80,48.38,0.01,89.78,6.68
2,200210,461,121,小客车,4.84,56.80,47.53,0.01,40.41,3.06
2,200216,472,121,小客车,4.84,56.90,53.15,0.00,70.31,4.76
2,200218,559,205,小客车,4.01,40.20,38.36,0.01,57.40,5.39
2,200219,490,136,小客车,4.71,54.10,50.14,0.00,62.09,4.46
2,200222,587,225,小客车,4.10,42.00,38.17,0.01,41.49,3.91
2,200225,592,223,小客车,4.06,41.20,38.08,0.00,45.52,4.30
2,200226,583,210,小客车,4.11,42.10,39.59,0.00,53.01,4.82
2,200229,528,151,小客车,4.17,43.40,37.09,0.03,32.79,3.18
2,200232,539,155,小客车,4.17,43.50,38.22,0.00,37.37,3.52
2,200238,517,127,小客车,4.46,49.30,40.18,0.04,32.11,2.88
2,200240,497,101,小客车,4.71,54.20,52.55,0.00,100.25,6.87
2,200242,506,101,小客车,4.98,59.60,54.60,0.00,63.37,4.18
2,200243,531,125,小客车,4.24,44.70,37.86,0.00,33.20,3.16
2,200245,514,108,小客车,4.34,46.90,41.31,0.04,39.38,3.43
2,200248,573,155,小客车,4.14,42.90,41.42,0.01,67.54,5.87
2,200251,524,103,小客车,4.98,59.60,38.09,0.03,24.06,2.27
2,200254,595,166,小客车,4.68,53.60,39.07,0.00,27.33,2.52
2,200263,546,106,小客车,4.88,57.60,40.28,0.00,27.33,2.44
2,200271,562,109,小客车,4.86,57.10,38.85,0.00,25.57,2.37
2,300057,502,353,小客车,4.90,58.00,53.33,0.00,62.81,4.24
2,300069,362,172,小客车,4.51,50.30,47.17,0.00,62.53,4.77
2,300083,376,156,小客车,4.81,56.20,43.08,0.01,31.66,2.65
2,300120,511,179,小客车,4.28,45.50,43.95,0.03,68.94,5.65
2,300123,521,175,小客车,4.09,41.90,38.19,0.03,41.68,3.93
3,200165,761,494,小客车,4.50,50.00,45.73,0.01,51.49,4.05
3,200170,612,337,小客车,4.01,40.20,39.27,0.00,83.01,7.61
