统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,500001,195,190,电动车,2.55,26.75,26.75,0.00,2.99,0.40
1,500006,203,185,电动车,2.49,24.65,24.42,0.00,19.53,2.88
1,500012,219,188,自行车,1.91,16.46,19.97,0.00,8.91,1.61
1,500018,195,147,电动车,2.56,27.15,27.15,0.00,998.72,3600.00
1,500021,200,139,电动车,2.55,26.60,25.99,0.00,31.02,4.30
1,500027,212,142,电动车,2.59,27.95,27.79,0.00,59.59,7.72
1,600002,231,222,自行车,1.76,14.46,19.92,0.00,12.08,2.18
1,600011,236,216,电动车,2.37,20.80,20.25,0.00,10.79,1.92
1,600016,213,181,电动车,2.65,29.95,29.95,0.00,3.58,0.43
1,600018,217,179,电动车,2.52,25.80,25.29,0.00,34.09,4.85
1,600021,219,178,电动车,2.64,29.75,29.31,0.00,2.09,0.26
1,600023,239,194,电动车,2.64,29.75,20.25,0.00,2.11,0.38
1,600025,243,196,电动车,2.57,27.35,20.35,0.00,10.80,1.91
1,600027,241,190,电动车,2.51,25.40,20.28,0.00,11.63,2.06
1,600036,247,175,电动车,2.51,25.25,22.94,0.00,18.89,2.96
1,600041,250,174,电动车,2.60,28.25,23.28,0.00,11.07,1.71
1,600045,253,170,电动车,2.53,25.85,23.58,0.00,18.91,2.89
1,600048,229,142,电动车,2.41,22.00,21.94,0.00,55.14,9.05
1,600060,234,120,电动车,2.38,21.15,20.71,0.00,16.13,2.80
1,600073,238,94,电动车,2.46,23.55,21.82,0.00,6.43,1.06
1,600079,248,94,电动车,2.53,26.00,25.68,0.00,2.76,0.39
2,500036,359,262,电动车,2.37,20.50,20.50,0.00,62.47,10.97
2,500043,342,228,电动车,2.62,28.85,28.85,0.00,998.69,3600.00
2,500046,362,239,电动车,2.53,25.85,20.50,0.00,11.63,2.04
2,500065,502,347,电动车,2.43,22.70,22.70,0.00,998.78,3600.00
2,500070,348,179,电动车,2.59,27.85,27.34,0.00,43.00,5.66
2,500073,362,188,电动车,2.45,23.30,23.23,0.00,1.06,0.16
2,500084,517,317,自行车,1.71,13.74,19.96,0.00,6.07,1.09
2,500087,373,168,自行车,1.91,16.42,19.93,0.00,19.46,3.51
2,500090,351,136,电动车,2.64,29.70,27.29,0.00,22.12,2.92
2,500093,378,155,自行车,1.83,15.44,19.50,0.00,27.39,5.06
2,500096,522,290,电动车,2.37,20.60,19.69,0.00,12.53,2.29
2,500100,524,289,电动车,2.45,23.25,19.76,0.00,11.32,2.06
2,500111,503,234,电动车,2.43,22.55,22.55,0.00,3.62,0.58
2,500114,512,238,自行车,1.78,14.76,19.89,0.00,55.42,10.03
2,500124,519,202,自行车,1.83,15.38,19.68,0.00,7.29,1.33
2,500148,522,147,电动车,2.42,22.35,19.68,0.00,0.50,0.09
2,600057,385,280,自行车,1.90,16.38,19.81,0.00,31.92,5.80
2,600082,392,234,自行车,1.71,13.80,19.52,0.00,27.81,5.13
2,600088,370,201,电动车,2.56,26.85,26.31,0.00,47.31,6.47
2,600092,394,219,电动车,2.56,26.95,19.53,0.00,9.59,1.77
2,600100,397,217,电动车,2.59,27.90,19.56,0.00,7.92,1.46
2,600104,416,223,自行车,1.74,14.22,19.96,0.00,106.13,19.14
2,600109,535,314,自行车,1.79,14.82,19.88,0.00,0.57,0.10
2,600117,541,307,自行车,1.83,15.42,19.60,0.00,0.50,0.09
2,600123,547,302,电动车,2.37,20.55,20.18,0.00,34.21,6.10
2,600132,387,124,自行车,1.94,16.86,19.79,0.00,1.51,0.28
2,600135,379,108,电动车,2.50,25.05,24.84,0.00,0.50,0.07
2,600139,386,109,自行车,1.88,16.02,20.00,0.00,6.82,1.23
2,600144,387,96,电动车,2.53,26.10,20.45,0.00,0.50,0.09
2,600150,393,89,电动车,2.48,24.45,23.60,0.00,0.80,0.12
2,600155,550,241,电动车,2.46,23.55,20.19,0.00,13.15,2.34
2,600157,395,86,电动车,2.61,28.80,23.69,0.00,1.83,0.28
2,600158,556,245,自行车,1.92,16.54,19.67,0.00,33.66,6.16
2,600165,516,191,电动车,2.51,25.25,25.25,0.00,19.66,2.80
2,600169,535,204,自行车,1.79,14.84,19.98,0.00,12.48,2.25
2,600171,559,228,电动车,2.54,26.45,21.52,0.00,0.91,0.15
2,600172,532,199,自行车,1.69,13.52,19.87,0.00,41.58,7.53
2,600210,537,115,自行车,1.74,14.24,19.39,0.00,9.26,1.72
2,600213,541,114,电动车,2.37,20.75,19.65,0.00,19.75,3.62
2,600223,558,114,自行车,1.81,15.08,19.87,0.00,11.00,1.99
2,600226,550,101,电动车,2.44,22.95,22.67,0.00,0.50,0.08
3,500105,653,399,电动车,2.42,22.35,22.35,0.00,2.88,0.46
3,500136,809,453,电动车,2.40,21.65,21.65,0.00,66.25,11.02
3,500139,816,454,自行车,1.77,14.66,19.77,0.00,8.21,1.49
3,500162,822,416,自行车,1.95,16.94,19.51,0.00,14.63,2.70
3,500164,662,252,自行车,1.87,15.98,20.00,0.00,37.96,6.83
3,500168,824,404,电动车,2.46,23.75,19.50,0.00,8.24,1.52
3,500171,652,229,电动车,2.43,22.60,22.60,0.00,998.79,3600.00
3,500186,656,203,电动车,2.50,25.10,22.78,0.00,12.24,1.93
3,500192,667,203,自行车,1.69,13.48,19.93,0.00,25.34,4.58
3,500199,667,189,自行车,1.73,14.10,19.55,0.00,2.45,0.45
3,500202,678,185,自行车,1.93,16.70,18.80,0.00,15.90,3.05
3,500205,670,173,电动车,2.43,22.65,19.52,0.00,2.35,0.43
3,500208,669,163,电动车,2.50,25.10,25.01,0.00,9.71,1.40
3,500210,684,171,自行车,1.66,13.12,19.57,0.00,11.15,2.05
3,500217,674,148,自行车,1.70,13.64,19.09,0.00,20.33,3.83
3,500223,812,272,自行车,1.67,13.24,19.97,0.00,12.35,2.23
3,500226,798,250,电动车,2.51,25.30,25.30,0.00,998.75,3600.00
3,500233,815,251,电动车,2.44,23.10,19.97,0.00,13.28,2.39
3,500240,817,231,电动车,2.47,24.05,19.97,0.00,2.71,0.49
3,500249,822,209,自行车,1.84,15.48,19.49,0.00,2.14,0.39
3,500258,801,163,电动车,2.61,28.60,28.60,0.00,21.06,2.65
3,500280,824,151,电动车,2.58,27.75,19.49,0.00,0.50,0.09
3,600178,675,335,电动车,2.46,23.70,23.26,0.00,3.10,0.48
3,600182,684,338,自行车,1.74,14.16,19.74,0.00,2.26,0.41
3,600187,692,340,自行车,1.92,16.54,19.73,0.00,3.71,0.68
3,600189,697,336,自行车,1.90,16.28,18.92,0.01,18.13,3.45
3,600193,693,327,电动车,2.55,26.55,19.29,0.00,0.50,0.09
3,600194,679,312,自行车,1.76,14.44,19.91,0.00,2.79,0.50
3,600196,694,322,电动车,2.64,29.60,22.14,0.00,4.99,0.81
3,600201,682,284,电动车,2.50,24.90,19.92,0.00,11.45,2.07
3,600214,690,263,自行车,1.65,13.04,19.83,0.00,21.89,3.97
3,600218,702,269,电动车,2.38,21.00,20.01,0.00,21.63,3.89
3,600231,704,238,电动车,2.51,25.45,20.08,0.00,11.36,2.04
3,600233,678,211,电动车,2.46,23.65,22.28,0.01,2.53,0.41
3,600240,707,228,电动车,2.53,26.00,20.17,0.00,11.19,2.00
3,600248,826,332,电动车,2.62,29.05,19.50,0.00,7.86,1.45
3,600249,838,340,自行车,1.70,13.60,19.85,0.00,4.70,0.85
3,600250,829,329,电动车,2.55,26.80,19.50,0.00,10.17,1.88
3,600253,693,188,电动车,2.58,27.55,20.51,0.00,4.21,0.74
3,600262,691,177,自行车,1.94,16.88,19.29,0.00,0.50,0.09
3,600271,686,150,电动车,2.51,25.35,19.57,0.00,7.42,1.36
3,600285,820,258,电动车,2.59,28.15,28.10,0.00,11.89,1.52
3,600299,830,225,自行车,1.69,13.54,19.52,0.00,6.36,1.17
3,600306,837,212,电动车,2.37,20.50,20.49,0.00,15.29,2.69
3,600309,844,207,自行车,1.90,16.30,19.68,0.00,14.95,2.74
3,600318,841,193,电动车,2.61,28.80,20.50,0.00,10.61,1.86
3,600319,834,186,自行车,1.75,14.28,19.17,0.00,21.32,4.00
3,600322,851,197,自行车,1.65,13.00,19.77,0.00,41.55,7.56
3,600324,860,197,自行车,1.67,13.24,19.97,0.00,15.89,2.87
3,600331,854,181,电动车,2.42,22.45,19.76,0.00,13.82,2.52
3,600335,857,181,电动车,2.45,23.35,19.94,0.00,12.92,2.33
3,600336,865,183,电动车,2.38,20.85,20.16,0.00,25.22,4.50
4,500182,960,514,自行车,1.90,16.36,20.00,0.00,4.69,0.84
4,500189,965,505,自行车,1.78,14.78,19.53,0.00,21.64,3.99
4,500243,952,357,电动车,2.62,28.95,28.28,0.00,40.63,5.17
4,500255,959,327,电动车,2.62,29.15,28.69,0.00,7.51,0.94
4,500267,1113,464,自行车,1.77,14.66,20.00,0.00,48.36,8.70
4,500286,957,268,电动车,2.37,20.80,20.80,0.00,37.14,6.43
4,500292,1118,410,自行车,1.86,15.74,19.45,0.00,3.24,0.60
4,500295,942,228,电动车,2.61,28.80,28.80,0.00,998.69,3600.00
4,500301,947,220,电动车,2.65,29.95,28.91,0.00,34.59,4.31
4,500304,969,225,自行车,1.88,16.06,19.96,0.00,6.59,1.19
4,500318,1124,340,电动车,2.36,20.20,19.75,0.00,30.03,5.47
4,500324,974,165,自行车,1.85,15.68,19.55,0.00,7.55,1.39
4,500327,1129,316,自行车,1.89,16.24,19.52,0.00,8.89,1.64
4,500333,968,137,电动车,2.53,26.15,19.65,0.00,10.55,1.93
4,500339,970,128,电动车,2.55,26.80,20.48,0.00,3.50,0.62
4,500345,1103,253,电动车,2.42,22.40,22.40,0.00,998.79,3600.00
4,500350,1104,247,电动车,2.41,22.00,22.00,0.00,7.51,1.23
4,500367,1114,224,自行车,1.89,16.20,19.93,0.00,2.75,0.50
4,500379,1114,198,自行车,1.75,14.32,19.89,0.00,4.00,0.72
