统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,400001,29,25,小客车,4.73,54.60,54.57,0.01,997.63,3600.00
1,400002,40,37,大客车,12.10,43.80,43.26,0.01,63.81,10.62
1,400004,45,33,小客车,4.37,47.30,36.82,0.05,31.31,3.06
1,400009,49,34,小客车,4.49,49.70,34.42,0.00,89.80,9.39
1,400010,41,25,小客车,4.66,53.10,41.15,0.00,32.13,2.81
1,400012,53,38,小客车,4.19,43.80,27.45,0.01,15.49,4.06
1,400013,56,36,小客车,4.08,41.60,32.27,0.29,24.26,2.71
1,400016,62,36,小客车,4.04,40.70,36.64,0.98,117.64,11.56
1,400017,52,26,小客车,4.98,59.60,52.23,0.60,105.72,7.29
1,400018,59,30,小客车,5.00,59.90,30.05,0.34,20.62,2.47
1,400021,67,34,小客车,4.28,45.50,34.93,0.31,29.12,3.00
1,400022,70,40,小客车,4.11,42.10,27.36,0.01,19.83,5.22
1,400025,65,24,小客车,4.97,59.50,42.82,0.95,48.63,4.09
1,400032,84,31,小客车,4.70,53.90,44.97,0.19,40.33,3.23
1,400034,82,27,小客车,4.91,58.10,55.59,0.00,106.01,6.87
1,400036,88,32,小客车,4.49,49.70,42.66,0.08,42.08,3.55
1,400038,91,31,小客车,4.53,50.50,39.53,0.32,32.44,2.95
1,400039,93,32,小客车,4.54,50.70,40.60,0.83,55.15,4.89
1,400040,96,30,小客车,4.47,49.40,36.23,0.12,28.36,2.82
1,400041,100,32,小客车,4.92,58.30,27.90,0.00,19.05,2.46
1,400043,97,33,小客车,4.83,56.50,30.77,0.01,24.38,5.71
1,400052,119,32,大客车,11.81,41.45,40.62,0.00,94.05,8.34
1,400054,127,36,小客车,4.04,40.80,34.95,0.00,36.77,3.79
1,400058,123,27,小客车,4.79,55.90,40.11,0.01,38.24,3.43
1,400061,127,32,小客车,4.73,54.60,40.98,0.01,13.94,2.45
1,400062,134,36,小客车,4.12,42.30,39.93,0.00,57.01,5.14
1,400065,139,38,小客车,4.13,42.60,39.37,0.00,46.97,4.29
1,400070,142,33,小客车,4.67,53.40,38.01,0.00,29.66,2.81
1,400071,148,39,小客车,4.02,40.40,37.74,0.00,58.01,5.53
1,400080,162,33,小客车,4.03,40.50,38.87,0.02,72.44,6.71
1,400082,156,27,小客车,4.71,54.30,50.89,0.00,75.33,5.33
1,400085,167,32,小客车,4.22,44.40,38.62,0.00,41.56,3.87
1,400087,170,29,小客车,4.94,58.80,41.42,0.05,31.57,2.74
1,400090,174,31,小客车,4.68,53.70,44.91,0.03,42.97,3.44
1,400092,177,28,小客车,4.84,56.80,46.71,0.09,41.10,3.17
1,400097,187,27,小客车,4.70,53.90,52.16,0.00,109.37,7.55
1,400100,194,29,小客车,4.51,50.20,48.55,0.01,94.90,7.04
1,400103,202,34,小客车,4.20,44.00,38.44,0.12,39.49,3.70
1,400104,198,30,小客车,4.39,47.80,41.76,0.00,44.42,3.83
1,400105,205,35,小客车,4.22,44.50,35.38,0.00,31.01,3.15
1,400108,208,30,小客车,4.96,59.10,35.69,0.00,25.05,2.53
1,400109,215,33,小客车,4.17,43.50,24.94,3.31,27.99,4.04
1,400110,214,35,小客车,4.36,47.20,36.66,0.01,14.74,2.90
1,400113,218,34,小客车,4.42,48.50,42.96,0.18,47.78,4.00
1,400114,224,33,小客车,4.11,42.20,40.79,0.00,70.64,6.23
1,400120,235,27,小客车,4.62,52.30,50.65,0.00,111.74,7.94
1,400122,242,27,小客车,4.54,50.70,49.67,0.04,120.52,8.74
1,400127,248,30,小客车,4.92,58.50,23.90,0.01,20.35,6.13
1,400128,246,26,小客车,4.97,59.40,51.24,0.00,48.89,3.43
1,400132,258,36,小客车,4.08,41.70,39.38,0.08,54.94,5.02
1,400134,254,31,小客车,4.96,59.30,52.56,0.48,92.55,6.34
1,400136,265,39,小客车,4.29,45.80,37.88,0.00,35.61,3.38
1,400139,261,27,小客车,4.89,57.90,43.05,0.00,34.28,2.87
1,400140,268,29,小客车,4.63,52.50,34.34,0.06,25.01,2.62
1,400142,272,32,小客车,4.50,50.00,43.02,0.00,45.32,3.79
1,400147,277,27,小客车,4.86,57.10,45.86,0.00,42.60,3.34
1,400150,283,28,小客车,4.50,49.90,46.42,0.00,59.86,4.64
1,400153,298,31,小客车,4.67,53.50,43.61,0.28,37.44,3.09
1,400156,296,26,小客车,4.79,55.70,54.42,0.00,131.99,8.73
2,400158,302,31,小客车,4.46,49.30,42.49,0.18,41.57,3.52
2,400159,305,31,小客车,4.88,57.60,39.69,0.15,28.41,2.58
2,400160,313,38,小客车,4.88,57.70,35.72,0.01,10.47,2.11
2,400163,308,29,小客车,4.50,50.00,38.71,0.00,33.25,3.09
2,400166,321,43,小客车,4.67,53.40,20.88,0.01,4.99,1.72
2,400168,318,36,小客车,4.01,40.20,27.91,0.00,82.79,10.68
2,400169,314,31,小客车,4.33,46.50,34.92,0.00,27.31,2.82
2,400174,325,36,小客车,4.13,42.60,37.75,0.16,37.63,3.59
2,400185,337,24,小客车,4.91,58.10,55.46,0.00,107.74,6.99
2,400187,348,31,小客车,4.23,44.60,42.78,0.00,55.47,4.67
2,400188,349,32,小客车,4.76,55.20,47.31,0.01,21.69,3.30
2,400189,351,29,小客车,4.88,57.70,43.34,1.06,57.70,4.79
2,400193,363,34,小客车,4.13,42.70,39.20,0.01,51.46,4.73
2,400195,359,27,小客车,4.66,53.10,51.39,0.00,109.04,7.64
2,400197,366,33,小客车,4.57,51.40,38.01,0.16,29.84,2.83
2,400206,382,29,小客车,4.35,47.00,46.38,0.00,140.66,10.92
