统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,400003,90,81,小客车,4.22,44.50,44.50,0.00,997.89,3600.00
1,400012,106,89,小客车,4.19,43.80,43.80,0.00,997.90,3600.00
1,400022,126,93,小客车,4.11,42.10,42.10,0.00,997.95,3600.00
1,400041,143,77,小客车,4.92,58.30,58.30,0.00,997.54,3600.00
1,400051,219,135,小客车,4.42,48.40,48.40,0.00,997.79,3600.00
1,400062,188,90,小客车,4.12,42.30,42.30,0.00,997.94,3600.00
1,400074,227,113,小客车,4.59,51.90,47.66,0.77,997.70,3600.00
1,400081,223,94,小客车,4.60,52.00,48.12,0.70,997.70,3600.00
1,400092,231,82,小客车,4.84,56.80,51.58,0.85,997.58,3600.00
1,400101,235,68,小客车,4.95,58.90,55.18,0.60,997.53,3600.00
1,400111,270,89,小客车,4.46,49.10,49.10,0.00,997.77,3600.00
1,400122,291,76,小客车,4.54,50.70,50.70,0.00,997.73,3600.00
2,200094,319,161,小客车,4.84,56.80,56.58,0.04,997.58,3600.00
2,200097,458,294,小客车,4.58,51.60,51.49,0.02,997.71,3600.00
2,400132,312,90,小客车,4.08,41.70,41.70,0.00,997.96,3600.00
2,400143,365,124,小客车,4.51,50.30,50.30,0.00,997.74,3600.00
2,400151,371,116,小客车,4.53,50.60,49.97,0.12,997.73,3600.00
2,400165,374,94,小客车,4.89,57.90,49.09,0.03,42.67,3.13
2,400173,378,92,小客车,4.64,52.90,50.79,0.38,997.68,3600.00
2,400180,391,86,小客车,4.37,47.40,47.40,0.00,997.81,3600.00
2,400190,401,78,小客车,4.67,53.40,53.40,0.00,997.66,3600.00
2,400202,443,98,大客车,11.92,42.35,42.35,0.00,994.04,3600.00
2,400220,468,99,小客车,4.10,42.00,42.00,0.00,997.95,3600.00
2,400230,479,98,小客车,4.17,43.50,43.50,0.00,997.91,3600.00
2,400251,523,112,小客车,4.15,43.00,43.00,0.00,997.92,3600.00
2,400261,527,95,小客车,4.88,57.60,49.03,1.53,997.56,3600.00
2,400270,538,87,小客车,4.17,43.50,43.50,0.00,997.91,3600.00
2,400280,550,87,小客车,4.31,46.20,46.20,0.00,997.84,3600.00
2,400289,561,89,小客车,4.75,55.00,55.00,0.00,997.62,3600.00
2,400301,593,87,小客车,4.13,42.70,42.70,0.00,997.93,3600.00
3,400311,608,82,小客车,4.83,56.50,56.50,0.00,997.59,3600.00
3,400320,622,82,小客车,4.88,57.60,57.60,0.00,997.56,3600.00
3,400331,672,116,小客车,4.05,41.00,41.00,0.00,997.97,3600.00
3,400340,662,86,小客车,4.36,47.10,47.10,0.00,997.82,3600.00
3,400351,676,84,小客车,4.33,46.60,41.14,0.00,40.46,3.54
3,400360,709,90,小客车,4.33,46.60,46.60,0.00,997.83,3600.00
3,400370,730,98,小客车,4.28,45.50,45.50,0.00,997.86,3600.00
3,400378,733,87,小客车,4.91,58.10,47.18,0.00,38.30,2.92
3,400388,760,96,小客车,4.12,42.40,42.40,0.00,997.94,3600.00
3,400401,777,97,小客车,4.14,42.80,42.80,0.00,997.93,3600.00
3,400411,814,118,小客车,4.21,44.10,44.10,0.00,997.90,3600.00
3,400419,820,108,小客车,4.17,43.30,42.78,0.12,997.92,3600.00
3,400429,829,101,小客车,4.18,43.60,43.60,0.00,997.91,3600.00
3,400439,840,90,小客车,4.75,55.00,55.00,0.00,997.62,3600.00
3,400449,854,88,小客车,4.49,49.80,49.80,0.00,997.75,3600.00
3,400460,884,102,小客车,4.14,42.90,42.90,0.00,997.93,3600.00
3,400472,887,92,小客车,4.96,59.10,45.92,0.00,35.07,2.75
3,400479,898,92,小客车,4.57,51.40,51.40,0.00,997.71,3600.00
4,200200,1067,746,小客车,4.96,59.20,59.20,0.00,997.52,3600.00
4,400487,902,92,小客车,4.92,58.50,53.50,0.80,997.54,3600.00
4,400501,918,83,小客车,4.67,53.30,53.30,0.00,997.67,3600.00
4,400507,977,126,小客车,4.04,40.80,40.80,0.00,997.98,3600.00
4,400528,996,113,小客车,4.18,43.70,43.70,0.00,997.91,3600.00
4,400548,1010,99,小客车,4.95,59.00,59.00,0.00,997.52,3600.00
4,400559,1028,96,小客车,4.24,44.80,44.80,0.00,997.88,3600.00
4,400568,1032,87,小客车,4.99,59.80,49.40,0.00,42.32,3.08
4,400577,1039,79,小客车,4.80,56.00,55.93,0.01,997.60,3600.00
4,400588,1119,144,小客车,4.77,55.40,55.40,0.00,997.61,3600.00
4,400599,1125,135,小客车,4.76,55.20,55.01,0.03,997.62,3600.00
4,400609,1137,119,小客车,4.53,50.50,50.35,0.03,997.74,3600.00
4,400617,1142,112,小客车,4.86,57.10,55.00,0.36,997.57,3600.00
4,400628,1131,88,小客车,4.58,51.70,51.41,0.05,997.71,3600.00
4,400637,1160,102,小客车,4.00,40.10,40.10,0.00,998.00,3600.00
4,400659,1194,88,小客车,4.55,51.10,51.10,0.00,997.72,3600.00
5,200249,1228,809,小客车,4.84,56.80,56.80,0.00,997.58,3600.00
5,400669,1211,81,小客车,4.75,54.90,54.90,0.00,997.63,3600.00
