统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,600008,142,129,电动车,2.55,26.55,26.55,0.00,998.73,3600.00
1,600015,167,136,自行车,1.94,16.92,20.00,0.00,999.03,3600.00
1,600024,177,130,自行车,1.80,14.94,20.00,0.00,999.10,3600.00
1,600038,296,224,电动车,2.49,24.70,24.70,0.00,998.75,3600.00
2,600028,310,257,自行车,1.67,13.30,20.00,0.00,21.76,3.92
2,600040,303,229,电动车,2.40,21.70,21.70,0.00,12.62,2.09
2,600046,306,222,电动车,2.53,26.00,21.70,0.00,13.55,2.25
2,600049,315,226,自行车,1.78,14.68,19.53,0.00,0.52,0.10
2,600055,301,202,电动车,2.50,25.00,24.25,0.00,31.54,4.68
2,600058,315,210,电动车,2.36,20.35,20.32,0.02,9.51,1.68
2,600063,313,194,电动车,2.39,21.30,21.30,0.00,14.28,2.41
2,600068,318,188,电动车,2.55,26.70,19.55,0.00,10.44,1.92
2,600085,315,147,电动车,2.63,29.40,21.21,0.01,0.50,0.08
2,600103,320,127,电动车,2.42,22.25,21.48,0.01,9.93,1.66
2,600120,442,205,电动车,2.51,25.35,25.35,0.00,998.74,3600.00
2,600138,446,171,电动车,2.54,26.25,25.11,0.00,27.51,3.94
2,600145,460,164,自行车,1.91,16.42,20.00,0.00,10.23,1.84
2,600156,465,157,电动车,2.49,24.65,24.49,0.05,27.69,4.07
2,600159,466,150,自行车,1.84,15.60,19.62,0.00,3.12,0.57
2,600166,471,144,电动车,2.35,20.10,19.36,0.00,22.94,4.27
2,600173,455,123,电动车,2.53,25.95,25.95,0.00,998.74,3600.00
2,600177,481,141,自行车,1.70,13.72,20.00,0.00,999.15,3600.00
2,600183,458,113,电动车,2.62,29.05,25.94,0.00,19.08,2.65
2,600190,594,233,电动车,2.49,24.75,24.75,0.00,998.75,3600.00
3,600199,615,235,自行车,1.67,13.30,20.00,0.00,24.72,4.45
3,600211,617,193,电动车,2.46,23.65,20.00,0.00,12.88,2.32
3,600216,607,178,电动车,2.39,21.30,21.30,0.00,2.94,0.50
3,600225,606,158,电动车,2.40,21.70,21.70,0.00,998.80,3600.00
3,600229,623,163,自行车,1.80,15.04,19.63,0.00,32.42,5.95
3,600251,624,124,电动车,2.52,25.80,25.78,0.01,4.14,0.58
3,600256,611,105,电动车,2.56,26.95,24.20,0.00,19.65,2.92
3,600259,760,249,自行车,1.91,16.52,20.00,0.00,999.04,3600.00
3,600277,760,205,自行车,1.76,14.52,20.00,0.00,0.50,0.09
3,600282,765,204,自行车,1.78,14.72,19.54,0.00,2.74,0.51
3,600289,762,183,自行车,1.88,16.08,20.00,0.00,0.50,0.09
3,600298,765,166,电动车,2.50,24.85,20.10,0.00,10.28,1.84
3,600303,762,146,电动车,2.56,27.10,20.04,0.00,10.42,1.87
3,600312,774,133,自行车,1.84,15.48,19.95,0.02,44.32,8.00
4,600325,901,238,电动车,2.43,22.60,22.60,0.00,998.79,3600.00
4,600343,905,213,电动车,2.47,23.95,22.65,0.00,4.70,0.75
4,600354,921,204,自行车,1.95,17.00,20.00,0.00,999.02,3600.00
4,600360,904,176,电动车,2.42,22.40,22.40,0.00,16.08,2.58
4,600370,924,172,电动车,2.42,22.25,19.92,0.00,14.94,2.70
4,600373,910,146,电动车,2.52,25.80,24.99,0.00,27.64,3.98
4,600382,930,147,自行车,1.74,14.20,19.69,0.00,34.51,6.31
4,600399,1060,239,自行车,1.69,13.56,20.00,0.00,999.15,3600.00
4,600413,1043,203,电动车,2.54,26.45,26.45,0.00,1.63,0.22
4,600427,1068,202,自行车,1.70,13.72,19.79,0.00,11.64,2.12
4,600430,1042,172,电动车,2.56,26.90,26.90,0.00,998.72,3600.00
4,600442,1074,175,自行车,1.76,14.52,19.64,0.00,32.39,5.94
4,600447,1065,155,自行车,1.80,14.96,20.00,0.00,30.02,5.40
4,600460,1077,140,电动车,2.44,22.90,19.56,0.00,12.84,2.36
4,600469,1068,116,电动车,2.50,25.00,20.03,0.00,0.50,0.09
4,600478,1191,229,电动车,2.57,27.45,27.45,0.00,0.50,0.07
4,600495,1195,201,电动车,2.60,28.40,27.26,0.00,30.94,4.09
4,600513,1190,167,电动车,2.53,26.10,26.10,0.00,998.73,3600.00
5,600474,1210,253,自行车,1.70,13.64,20.00,0.00,999.15,3600.00
5,600504,1217,203,自行车,1.80,15.00,20.00,0.00,15.12,2.72
5,600517,1224,189,自行车,1.82,15.20,19.65,0.00,6.79,1.24
5,600522,1214,170,自行车,1.72,13.92,20.00,0.00,24.10,4.34
5,600538,1227,148,电动车,2.42,22.45,19.56,0.00,13.64,2.51
5,600547,1222,126,电动车,2.38,20.90,20.63,0.00,25.01,4.36
