统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,500010,84,61,电动车,2.38,21.05,20.80,0.00,12.38,2.14
1,500013,90,57,电动车,2.52,25.55,23.72,0.00,10.06,1.53
1,500023,110,49,电动车,2.62,29.05,23.22,0.00,15.27,2.37
1,500031,139,57,电动车,2.55,26.65,21.68,0.00,8.23,1.37
1,500072,238,64,自行车,1.71,13.86,20.00,0.00,3.89,0.70
1,500077,250,65,自行车,1.85,15.64,15.72,0.00,8.46,1.94
1,500080,260,66,自行车,1.87,15.92,14.43,0.92,2.24,0.56
1,500081,242,49,电动车,2.59,28.10,21.16,1.08,4.36,0.74
1,500082,262,65,自行车,1.82,15.20,13.92,0.69,2.10,0.54
1,500086,255,55,电动车,2.48,24.25,17.54,0.00,5.31,1.09
1,500088,282,59,电动车,2.62,28.95,7.91,1.73,3.18,1.45
1,500089,281,64,自行车,1.92,16.58,8.93,0.82,0.79,0.32
1,500095,281,51,电动车,2.50,25.10,20.75,0.00,6.39,1.11
2,500107,324,67,自行车,1.89,16.26,16.93,0.61,2.97,0.63
2,500113,323,53,电动车,2.61,28.75,20.74,1.00,19.58,3.40
2,500125,380,61,电动车,2.42,22.40,18.00,0.00,14.54,2.91
2,500134,403,64,自行车,1.87,15.90,16.16,0.24,10.78,2.40
2,500135,405,56,电动车,2.47,24.00,17.53,0.64,3.03,0.62
2,500138,423,57,电动车,2.43,22.75,6.37,1.57,1.42,0.80
2,500145,437,67,自行车,1.70,13.60,16.37,0.00,6.65,1.46
2,500147,439,65,自行车,1.91,16.52,17.37,0.46,2.48,0.51
2,500165,465,55,电动车,2.52,25.65,20.40,0.00,9.70,1.71
2,500169,484,64,自行车,1.73,14.04,17.52,0.00,1.26,0.26
2,500176,487,56,电动车,2.57,27.30,22.18,0.00,13.52,2.19
2,500184,514,68,自行车,1.71,13.76,14.83,0.00,3.82,0.93
2,500187,522,67,自行车,1.79,14.84,9.44,0.00,1.94,0.74
2,500190,529,66,电动车,2.36,20.20,9.51,0.00,3.94,1.49
2,500193,534,66,电动车,2.56,27.15,3.46,0.00,1.36,1.42
2,500198,537,60,电动车,2.51,25.40,10.84,1.61,1.34,0.44
2,500201,538,53,电动车,2.58,27.80,13.37,1.51,1.63,0.44
2,500203,555,62,电动车,2.37,20.70,14.95,1.16,2.32,0.56
2,500204,561,68,自行车,1.83,15.40,14.94,0.86,2.42,0.58
2,500207,580,66,自行车,1.79,14.84,5.36,1.39,2.24,1.50
2,500211,562,51,电动车,2.60,28.30,15.80,0.00,0.79,0.18
2,500213,581,64,电动车,2.35,20.10,0.08,0.00,1.31,58.55
2,500216,583,57,电动车,2.44,22.85,7.24,1.72,2.14,1.06
2,500222,599,62,电动车,2.39,21.40,17.76,0.84,2.74,0.55
2,500228,598,44,电动车,2.61,28.80,26.23,0.33,21.50,2.95
3,500232,632,70,自行车,1.95,16.98,16.06,0.15,9.69,2.17
3,500238,629,50,电动车,2.65,29.90,29.90,0.00,15.73,1.89
3,500256,695,60,电动车,2.47,24.00,18.81,0.00,5.71,1.09
3,500259,725,66,自行车,1.70,13.66,3.16,0.00,1.99,2.26
3,500260,688,51,电动车,2.63,29.20,29.20,0.00,9.16,1.13
3,500262,720,71,自行车,1.65,13.06,1.08,0.00,2.29,7.64
3,500265,701,56,电动车,2.46,23.80,10.57,0.00,3.14,1.07
3,500266,700,56,电动车,2.62,29.10,22.05,0.00,6.99,1.14
3,500271,727,52,电动车,2.63,29.40,7.68,1.67,2.04,0.95
3,500272,729,66,自行车,1.67,13.32,8.20,0.86,3.18,1.39
3,500274,723,52,电动车,2.49,24.80,3.42,0.00,2.39,2.52
3,500279,734,64,自行车,1.87,15.92,13.28,0.46,8.71,2.36
3,500285,749,61,电动车,2.43,22.75,18.29,0.00,2.60,0.51
3,500287,748,58,电动车,2.60,28.20,25.76,0.00,9.01,1.26
3,500291,753,52,电动车,2.48,24.45,21.17,0.00,6.54,1.11
3,500296,782,65,电动车,2.36,20.20,11.86,1.54,48.05,14.59
3,500300,781,58,电动车,2.55,26.65,26.54,0.00,16.58,2.25
3,500325,863,54,电动车,2.48,24.30,21.79,0.00,4.52,0.75
3,500331,869,50,电动车,2.53,25.95,20.67,0.00,9.16,1.60
3,500334,895,64,自行车,1.93,16.70,20.00,0.00,7.05,1.27
3,500343,898,53,电动车,2.51,25.40,23.25,0.00,12.98,2.01
4,500346,906,58,电动车,2.64,29.60,29.60,0.00,14.31,1.74
4,500347,917,65,自行车,1.82,15.32,20.00,0.00,15.28,2.75
4,500349,921,64,自行车,1.66,13.14,11.76,0.99,1.55,0.48
4,500360,929,55,电动车,2.52,25.60,21.43,0.75,11.85,1.99
4,500363,939,62,电动车,2.51,25.35,25.35,0.00,9.06,1.29
4,500368,947,57,电动车,2.55,26.55,19.66,0.00,4.61,0.84
4,500372,969,67,自行车,1.81,15.14,9.42,0.00,2.05,0.78
4,500375,960,55,电动车,2.46,23.65,19.04,0.00,5.48,1.04
4,500378,963,49,电动车,2.65,30.00,10.92,0.76,7.20,2.37
4,500381,982,60,电动车,2.42,22.30,9.71,0.00,4.08,1.51
4,500383,989,63,电动车,2.36,20.30,15.18,1.09,1.76,0.42
4,500387,997,65,自行车,1.91,16.42,15.33,0.82,2.13,0.50
4,500392,1017,64,自行车,1.93,16.70,14.86,0.87,1.94,0.47
