统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100004,78,72,小客车,4.58,73.20,73.20,0.00,997.71,3600.00
1,100006,90,83,小客车,4.37,64.60,64.53,0.00,149.57,8.34
1,100009,93,83,小客车,4.46,68.60,64.49,0.00,50.73,2.83
1,100010,83,73,小客车,4.81,82.40,80.75,0.00,98.79,4.40
1,100012,95,82,小客车,4.66,76.20,64.49,0.00,38.19,2.13
1,100013,97,84,小客车,4.97,89.00,64.49,0.00,32.78,1.83
1,100014,108,92,小客车,4.19,57.60,57.55,0.00,161.07,10.08
1,100017,110,91,小客车,4.48,69.20,57.53,0.00,33.24,2.08
1,100019,99,78,小客车,4.98,89.20,64.50,0.00,32.74,1.83
1,100024,122,96,小客车,4.11,54.20,53.94,0.01,80.08,5.34
1,100027,114,88,小客车,4.97,89.00,79.76,0.00,64.93,2.93
1,100028,118,91,小客车,4.49,69.40,63.88,0.35,71.05,4.00
1,100033,126,93,小客车,4.21,58.60,56.48,0.00,53.76,3.43
1,100035,138,102,小客车,4.62,74.80,56.84,0.00,29.94,1.90
1,100037,128,91,小客车,4.64,75.80,56.60,0.00,29.44,1.87
1,100040,130,89,小客车,4.53,71.00,56.68,0.00,31.25,1.98
1,100041,142,100,小客车,4.54,71.40,60.32,0.00,36.75,2.19
1,100043,132,83,小客车,4.92,86.60,56.68,0.00,27.49,1.75
1,100044,146,97,小客车,4.17,56.80,55.67,0.00,60.37,3.90
1,100046,134,83,小客车,4.60,74.00,56.75,0.00,30.12,1.91
1,100047,136,83,小客车,4.75,80.00,56.78,0.00,28.58,1.81
1,100049,140,86,小客车,4.58,73.40,56.95,0.00,30.53,1.93
1,100052,152,92,小客车,4.20,58.00,56.08,0.00,53.85,3.46
1,100053,148,87,小客车,4.42,66.80,55.39,0.01,31.84,2.07
1,100058,153,85,小客车,4.94,87.60,56.09,0.00,26.97,1.73
1,100059,155,85,小客车,4.50,70.00,56.13,0.00,31.06,1.99
1,100063,157,81,小客车,4.73,79.20,56.15,0.00,28.23,1.81
1,100066,182,104,小客车,4.02,50.80,50.66,0.01,77.44,5.50
1,100069,160,78,小客车,4.58,73.20,59.40,0.00,34.21,2.07
1,100070,168,86,小客车,4.53,71.20,67.95,0.00,61.65,3.27
1,100071,162,80,小客车,4.64,75.80,62.32,0.00,36.62,2.12
1,100072,171,89,小客车,4.67,76.80,71.26,0.00,54.30,2.74
1,100074,164,81,小客车,4.75,80.20,64.71,0.00,37.08,2.06
1,100075,186,101,小客车,4.93,87.40,50.61,0.01,23.70,1.69
1,100079,184,92,小客车,4.84,83.80,50.62,0.01,23.94,1.70
1,100081,174,82,小客车,4.50,70.00,67.79,0.01,63.20,3.36
1,100083,178,84,小客车,4.60,74.00,71.80,0.04,79.06,3.96
1,100087,189,90,小客车,4.22,58.80,55.70,0.00,48.14,3.11
1,100093,193,89,小客车,4.28,61.00,58.44,0.00,53.54,3.30
1,100095,196,90,小客车,4.33,63.00,58.56,0.00,44.07,2.71
1,100100,197,87,小客车,4.92,86.80,58.55,0.00,28.72,1.77
1,100103,199,88,小客车,4.95,87.80,58.52,0.00,28.56,1.76
