统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,700001,43,38,社会大巴/公交车,11.70,25.00,25.00,0.00,994.15,3600.00
1,700002,228,44,社会大巴/公交车,11.95,25.00,25.00,0.00,994.03,3600.00
2,700003,409,44,社会大巴/公交车,11.73,25.00,7.38,0.00,994.13,3600.00
2,700004,590,44,社会大巴/公交车,12.25,25.00,6.26,0.00,993.88,3600.00
3,700005,770,44,社会大巴/公交车,12.02,25.00,6.70,0.00,993.99,3600.00
4,700006,948,44,社会大巴/公交车,11.71,25.00,25.00,0.00,994.15,3600.00
4,700007,1128,44,社会大巴/公交车,12.29,25.00,25.00,0.00,993.86,3600.00
5,700008,1308,44,社会大巴/公交车,11.83,25.00,25.00,0.00,994.08,3600.00
5,700009,1489,44,社会大巴/公交车,11.50,25.00,7.87,0.00,994.25,3600.00
6,700010,1669,44,社会大巴/公交车,11.72,25.00,7.15,0.00,994.14,3600.00
7,700011,1849,44,社会大巴/公交车,11.48,25.00,8.63,0.00,994.26,3600.00
7,700012,2028,44,社会大巴/公交车,11.95,25.00,25.00,0.00,994.03,3600.00
8,700013,2208,44,社会大巴/公交车,12.33,25.00,25.00,0.00,993.83,3600.00
