统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,600001,257,257,社会大巴/公交车,11.91,25.00,24.04,0.01,497.02,148.86
2,100004,412,405,小汽车,4.93,34.35,25.99,0.01,498.77,138.17
2,100021,414,380,小汽车,4.36,28.55,25.68,0.01,5.52,1.55
2,100036,415,366,小汽车,4.67,31.65,25.02,0.01,4.61,1.33
2,100051,417,337,小汽车,4.68,31.80,24.98,0.01,4.54,1.31
2,100062,419,315,小汽车,4.29,27.90,23.76,0.01,4.69,1.42
2,100081,567,421,小汽车,4.34,28.45,24.46,0.01,498.91,146.86
2,100093,569,402,小汽车,4.72,32.25,25.32,0.01,4.73,1.35
2,100101,571,394,小汽车,4.62,31.15,24.96,0.01,4.60,1.33
2,100121,572,357,小汽车,4.97,34.75,25.37,0.01,4.46,1.27
2,100151,574,313,小汽车,4.25,27.50,23.86,0.01,4.86,1.47
3,100136,722,487,小汽车,4.79,32.95,25.72,0.01,498.80,139.64
3,100162,724,447,小汽车,4.28,27.80,24.98,0.01,5.33,1.54
3,100181,725,406,小汽车,4.41,29.05,23.87,0.01,4.48,1.35
3,100193,727,385,小汽车,4.97,34.70,24.32,0.01,4.24,1.26
3,100201,877,520,小汽车,4.46,29.55,24.83,0.01,498.89,144.65
3,100221,879,484,小汽车,4.04,25.40,22.87,0.01,4.84,1.52
3,100239,729,311,小汽车,4.07,25.70,22.72,0.01,4.79,1.52
3,100263,881,427,小汽车,4.10,26.00,21.75,0.01,4.10,1.36
3,100293,882,369,小汽车,4.06,25.60,21.09,0.01,3.91,1.34
3,100330,884,315,小汽车,4.38,28.75,21.29,0.01,3.69,1.25
4,100256,1032,590,小汽车,4.16,26.60,23.71,0.01,498.96,151.49
4,100282,1034,539,小汽车,4.29,27.95,23.10,0.01,4.36,1.36
4,100301,1036,509,小汽车,4.06,25.60,21.77,0.01,4.19,1.38
4,100347,1041,455,小汽车,4.26,27.60,22.54,0.01,4.22,1.35
4,100348,1039,449,小汽车,4.83,33.25,23.11,0.01,3.96,1.24
4,100361,1043,435,小汽车,4.23,27.30,22.23,0.01,4.12,1.33
4,100372,1037,406,小汽车,4.93,34.30,22.54,0.01,3.83,1.22
4,100385,1187,530,小汽车,4.00,25.05,22.96,0.01,499.00,156.48
4,100415,1192,496,小汽车,4.60,31.00,22.79,0.01,3.96,1.25
4,100420,1194,485,小汽车,4.29,27.85,22.42,0.01,4.12,1.32
4,100433,1189,456,小汽车,4.28,27.80,22.36,0.01,4.11,1.32
4,100448,1191,437,小汽车,4.50,30.00,22.53,0.01,3.95,1.26
4,100461,1196,426,小汽车,4.17,26.70,21.99,0.01,4.11,1.35
5,100468,1349,569,小汽车,4.69,31.90,23.28,0.01,4.05,1.25
5,100482,1342,530,小汽车,4.34,28.45,24.46,0.01,498.91,146.86
