统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100012,228,166,小汽车,4.13,26.30,13.67,4.94,997.93,3600.00
1,100038,229,133,小汽车,4.17,26.70,20.29,1.10,6.88,1.22
2,100061,383,236,小汽车,4.32,28.15,15.56,4.96,997.84,3600.00
2,100082,384,190,小汽车,4.75,32.50,22.43,1.49,7.82,1.26
2,100112,386,145,小汽车,4.00,25.00,21.52,0.34,7.90,1.32
2,100138,538,247,小汽车,4.83,33.35,15.70,4.99,997.58,3600.00
2,100161,539,220,小汽车,4.04,25.35,21.98,0.99,8.19,1.34
2,100182,541,180,小汽车,4.22,27.25,21.29,0.36,7.16,1.21
2,100212,543,129,小汽车,4.66,31.60,21.60,0.28,6.94,1.16
3,100235,693,227,小汽车,4.95,34.50,15.71,5.01,997.53,3600.00
3,100262,694,202,小汽车,4.80,33.00,24.95,1.70,9.12,1.32
3,100281,696,164,小汽车,4.74,32.35,25.67,0.53,8.92,1.25
3,100318,848,252,小汽车,4.64,31.45,15.66,4.96,997.68,3600.00
3,100329,849,237,小汽车,4.43,29.35,22.88,1.40,8.13,1.28
3,100344,851,224,小汽车,4.21,27.10,22.25,0.41,7.76,1.26
3,100356,853,209,小汽车,4.79,32.95,22.58,0.30,7.29,1.16
3,100386,855,157,小汽车,4.27,27.70,22.12,0.23,7.62,1.24
4,100396,1003,294,小汽车,4.72,32.25,15.68,4.98,997.64,3600.00
4,100412,1004,270,小汽车,4.89,33.90,24.52,1.67,8.85,1.30
4,100431,1006,234,小汽车,4.30,28.00,23.92,0.40,8.77,1.32
4,100446,1008,217,小汽车,4.14,26.45,22.16,0.25,7.99,1.30
4,100459,1158,341,小汽车,4.69,31.90,15.67,4.97,997.65,3600.00
4,100472,1159,322,小汽车,4.66,31.60,24.04,1.44,8.60,1.29
4,100479,1163,314,小汽车,4.26,27.65,21.94,0.26,7.50,1.23
4,100488,1161,293,小汽车,4.17,26.75,22.79,0.39,8.29,1.31
4,100495,1165,284,小汽车,4.58,30.75,21.99,0.24,7.15,1.17
4,100516,1167,290,小汽车,4.94,34.40,22.47,0.25,7.21,1.16
5,100537,1313,347,小汽车,4.38,28.75,15.58,4.90,997.81,3600.00
5,100553,1317,336,小汽车,4.18,26.85,14.92,0.57,4.59,1.11
5,100560,1314,326,小汽车,4.60,31.00,22.25,0.99,7.41,1.20
5,100590,1321,285,小汽车,4.72,32.25,20.21,0.39,6.38,1.14
5,100591,1319,280,小汽车,4.31,28.10,18.39,0.61,5.69,1.11
5,100606,1468,398,小汽车,4.07,25.65,13.65,4.93,997.97,3600.00
5,100629,1471,358,小汽车,4.89,33.90,22.49,0.45,7.31,1.17
5,100635,1469,346,小汽车,4.43,29.35,21.01,1.10,7.10,1.22
5,100655,1473,323,小汽车,4.82,33.15,23.09,0.29,7.49,1.17
5,100668,1475,289,小汽车,4.57,30.70,22.91,0.23,7.59,1.19
5,100693,1477,299,小汽车,4.26,27.60,22.24,0.18,7.78,1.26
6,100695,1623,400,小汽车,4.86,33.55,15.70,5.00,997.57,3600.00
6,100710,1624,389,小汽车,4.26,27.60,22.85,1.28,8.32,1.31
6,100728,1626,354,小汽车,4.89,33.95,23.91,0.46,7.90,1.19
6,100746,1628,324,小汽车,4.22,27.20,22.64,0.27,8.10,1.29
6,100761,1630,296,小汽车,4.06,25.60,21.36,0.20,7.71,1.30
6,100779,1632,309,小汽车,4.17,26.70,20.91,0.18,7.12,1.23
6,100798,1779,402,小汽车,4.04,25.40,20.67,1.07,7.24,1.26
6,100799,1778,395,小汽车,4.38,28.80,15.59,4.91,997.81,3600.00
6,100809,1781,388,小汽车,4.73,32.30,21.74,0.42,7.03,1.16
6,100830,1785,361,小汽车,4.71,32.10,22.84,0.23,7.44,1.17
6,100860,1783,298,小汽车,4.92,34.25,22.56,0.29,7.26,1.16
7,100870,1933,423,小汽车,4.44,29.40,15.60,4.92,997.78,3600.00
7,100886,1934,394,小汽车,4.49,29.85,22.43,1.35,7.83,1.26
7,100899,1936,374,小汽车,4.67,31.65,23.44,0.47,7.79,1.20
7,100910,1938,350,小汽车,4.83,33.30,23.78,0.32,7.79,1.18
7,100936,1940,307,小汽车,4.41,29.10,23.16,0.25,7.98,1.24
7,100940,1942,344,小汽车,4.13,26.25,22.06,0.18,8.09,1.32
7,100965,2088,412,小汽车,4.47,29.70,15.61,4.93,997.76,3600.00
7,100978,2091,394,小汽车,4.34,28.40,23.21,0.44,8.11,1.26
7,100984,2089,377,小汽车,4.77,32.70,23.57,1.41,8.30,1.27
7,100988,2093,382,小汽车,4.16,26.55,21.94,0.26,7.78,1.28
7,101004,2095,366,小汽车,4.81,33.10,22.17,0.24,7.12,1.16
7,101046,2097,334,小汽车,4.62,31.20,22.44,0.23,7.32,1.17
8,101036,2243,459,小汽车,4.80,33.00,15.69,4.99,997.60,3600.00
8,101077,2244,385,小汽车,4.16,26.60,22.41,1.14,8.19,1.32
8,101085,2248,382,小汽车,4.46,29.65,21.22,0.27,6.87,1.17
8,101092,2246,370,小汽车,4.08,25.75,21.21,0.35,7.42,1.26
8,101103,2250,365,小汽车,4.21,27.15,21.02,0.22,7.06,1.21
8,101142,2252,295,小汽车,4.49,29.90,21.13,0.22,6.82,1.16
8,101157,2253,305,小汽车,4.42,29.25,21.29,0.20,6.95,1.18
