统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100016,181,156,小汽车,4.51,30.10,30.10,0.01,498.87,119.33
1,100035,188,139,小汽车,4.00,25.00,25.00,0.01,499.00,143.71
1,100045,197,129,小汽车,4.02,25.20,25.20,0.01,499.00,142.57
2,100066,335,223,小汽车,4.55,30.55,30.55,0.01,498.86,117.57
2,100086,346,187,小汽车,4.12,26.15,26.05,0.01,498.97,137.91
2,100097,338,166,小汽车,4.78,32.80,30.38,0.01,7.97,1.89
2,100116,351,142,小汽车,4.08,25.75,25.50,0.01,16.87,4.76
2,100155,495,225,小汽车,4.13,26.25,26.25,0.01,498.97,136.86
2,100165,497,218,小汽车,4.39,28.90,26.10,0.01,6.06,1.67
2,100204,504,143,小汽车,4.50,29.95,29.95,0.01,498.88,119.94
2,400002,373,174,社会大巴/公交车,11.86,25.00,25.00,0.01,497.03,143.15
3,100216,649,268,小汽车,4.22,27.20,27.20,0.01,498.95,132.07
3,100286,676,177,小汽车,4.33,28.30,28.30,0.01,498.92,126.93
3,100297,803,285,小汽车,4.25,27.50,27.50,0.01,498.94,130.63
3,100375,813,171,小汽车,4.27,27.70,27.70,0.01,498.93,129.69
3,400003,655,306,社会大巴/公交车,12.06,25.00,24.98,0.01,496.98,143.23
4,100387,959,303,小汽车,4.16,26.55,26.55,0.01,498.96,135.31
4,100430,966,238,小汽车,4.89,33.90,33.83,0.01,498.78,106.16
4,100460,979,212,小汽车,4.21,27.15,27.15,0.01,498.95,132.32
4,100484,1111,298,小汽车,4.45,29.50,29.50,0.01,498.89,121.76
4,100490,973,145,小汽车,4.89,33.90,33.90,0.01,498.78,105.94
4,400006,1122,322,社会大巴/公交车,11.47,25.00,25.00,0.01,497.13,143.17
5,100555,1265,326,小汽车,4.78,32.75,32.75,0.01,498.81,109.66
5,100576,1271,301,小汽车,4.28,27.80,27.80,0.01,498.93,129.23
5,100578,1279,307,小汽车,4.86,33.60,33.60,0.01,498.78,106.88
5,100647,1286,190,小汽车,4.29,27.95,27.95,0.01,498.93,128.52
5,100650,1428,327,小汽车,4.74,32.40,30.58,0.01,9.84,2.32
5,100679,1424,272,小汽车,4.14,26.45,26.33,0.01,498.96,136.42
5,100696,1440,262,小汽车,4.29,27.85,27.85,0.01,498.93,128.99
5,100711,1461,265,小汽车,4.04,25.45,25.45,0.01,498.99,141.17
6,100740,1580,326,小汽车,4.67,31.75,27.50,0.01,5.67,1.48
6,100762,1582,287,小汽车,4.89,33.95,28.21,0.01,5.43,1.39
6,100763,1578,283,小汽车,4.26,27.60,27.60,0.01,498.94,130.16
6,100774,1587,274,小汽车,4.25,27.55,27.25,0.01,17.52,4.63
6,100783,1736,414,小汽车,4.58,30.85,27.04,0.01,5.73,1.53
6,100845,1734,325,小汽车,4.21,27.15,27.15,0.01,498.95,132.32
6,100892,1742,239,小汽车,4.90,34.00,33.96,0.01,498.77,105.75
6,400009,1600,351,社会大巴/公交车,11.91,25.00,25.00,0.01,497.02,143.14
6,400010,1750,351,社会大巴/公交车,11.76,25.00,25.00,0.01,497.06,143.15
7,100918,1890,337,小汽车,4.29,27.90,27.89,0.01,498.93,128.78
7,100931,1902,323,小汽车,4.60,31.00,31.00,0.01,498.85,115.86
7,100938,1884,295,小汽车,4.71,32.10,32.10,0.01,498.82,111.89
7,100952,1924,318,社会大巴/公交车,11.46,20.50,20.50,0.01,497.13,174.60
7,101000,2041,358,小汽车,4.45,29.50,29.50,0.01,498.89,121.76
7,101011,1894,200,小汽车,4.82,33.15,32.25,0.01,14.73,3.29
7,101034,2054,324,小汽车,4.14,26.40,26.12,0.01,16.77,4.62
7,101060,2049,268,小汽车,4.17,26.65,26.65,0.01,498.96,134.80
8,101084,2201,378,小汽车,4.20,26.95,26.64,0.01,15.63,4.22
8,101097,2197,354,小汽车,4.38,28.85,28.85,0.01,498.90,124.51
8,101146,2211,283,小汽车,4.42,29.15,27.46,0.01,7.31,1.92
8,101151,2209,274,小汽车,4.89,33.95,30.96,0.01,7.25,1.68
8,101163,2207,256,小汽车,4.92,34.25,33.60,0.01,19.21,4.12
8,101180,2213,232,小汽车,4.62,31.15,26.96,0.01,5.47,1.46
8,400014,2230,230,社会大巴/公交车,11.70,25.00,25.00,0.01,497.07,143.16
