统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100005,155,147,小汽车,4.82,33.15,31.05,0.01,498.80,115.66
1,100012,156,139,小汽车,4.13,26.30,24.83,0.01,6.13,1.78
1,100026,158,115,小汽车,4.54,30.45,24.44,0.01,4.44,1.31
1,100038,160,105,小汽车,4.17,26.70,23.12,0.01,4.61,1.44
2,100055,310,215,小汽车,4.54,30.45,29.32,0.01,498.86,122.49
2,100061,311,210,小汽车,4.32,28.15,25.39,0.01,5.46,1.55
2,100082,313,163,小汽车,4.75,32.50,25.35,0.01,4.52,1.28
2,100086,315,155,小汽车,4.12,26.15,23.29,0.01,4.94,1.53
2,100112,317,116,小汽车,4.00,25.00,21.99,0.01,4.53,1.48
2,100116,319,108,小汽车,4.08,25.75,21.56,0.01,4.08,1.36
2,100135,465,229,小汽车,4.29,27.85,27.23,0.01,498.93,131.90
2,100138,466,223,小汽车,4.83,33.35,26.34,0.01,4.80,1.31
2,100146,338,84,小汽车,4.46,29.55,29.55,0.01,498.89,121.56
2,100161,468,192,小汽车,4.04,25.35,23.19,0.01,5.25,1.63
2,100177,470,162,小汽车,4.17,26.70,22.45,0.01,4.26,1.37
2,100182,472,151,小汽车,4.22,27.25,22.15,0.01,4.04,1.31
2,100204,474,112,小汽车,4.50,29.95,22.50,0.01,3.87,1.24
2,100212,476,101,小汽车,4.66,31.60,22.90,0.01,3.88,1.22
3,100226,620,218,小汽车,4.71,32.15,30.46,0.01,498.82,117.91
3,100235,621,205,小汽车,4.95,34.50,28.97,0.01,5.71,1.42
3,100236,625,209,小汽车,4.16,26.60,24.07,0.01,5.32,1.59
3,100244,623,197,小汽车,4.53,30.25,26.60,0.01,5.49,1.49
3,100262,627,175,小汽车,4.80,33.00,24.47,0.01,4.23,1.24
3,100277,629,144,小汽车,4.22,27.25,23.47,0.01,4.67,1.43
3,100281,631,137,小汽车,4.74,32.35,23.90,0.01,4.10,1.24
3,100306,775,242,小汽车,4.41,29.05,28.41,0.01,498.90,126.45
3,100313,778,236,小汽车,4.83,33.35,26.29,0.01,4.74,1.30
3,100318,776,228,小汽车,4.64,31.45,26.53,0.01,5.15,1.40
3,100329,780,212,小汽车,4.43,29.35,24.98,0.01,4.86,1.40
3,100344,782,197,小汽车,4.21,27.10,23.65,0.01,4.81,1.46
3,100356,784,181,小汽车,4.79,32.95,24.12,0.01,4.14,1.24
3,100386,786,129,小汽车,4.27,27.70,23.42,0.01,4.52,1.39
4,100379,930,283,小汽车,4.74,32.35,30.56,0.01,498.82,117.54
4,100396,933,267,小汽车,4.72,32.25,24.12,0.01,4.18,1.25
4,100403,931,251,小汽车,4.01,25.10,23.91,0.01,6.22,1.87
4,100412,935,243,小汽车,4.89,33.90,24.52,0.01,4.20,1.23
4,100430,937,208,小汽车,4.89,33.90,24.76,0.01,4.27,1.24
4,100431,939,206,小汽车,4.30,28.00,23.72,0.01,4.62,1.40
4,100432,943,210,小汽车,4.11,26.10,22.21,0.01,4.33,1.40
4,100446,941,189,小汽车,4.14,26.45,22.81,0.01,4.56,1.44
4,100452,945,184,社会大巴/公交车,12.39,28.25,22.23,0.01,4.54,1.47
4,100459,1085,319,小汽车,4.69,31.90,30.27,0.01,498.83,118.65
4,100460,948,180,小汽车,4.21,27.15,22.46,0.01,4.23,1.36
4,100472,1086,298,小汽车,4.66,31.60,27.65,0.01,5.62,1.46
4,100475,1088,292,小汽车,4.34,28.45,25.24,0.01,5.28,1.51
4,100479,1092,285,小汽车,4.26,27.65,23.04,0.01,4.34,1.35
4,100488,1090,265,小汽车,4.17,26.75,23.59,0.01,4.88,1.49
4,100495,1094,255,小汽车,4.58,30.75,23.29,0.01,4.05,1.25
4,100516,1096,224,小汽车,4.94,34.40,23.96,0.01,4.03,1.21
4,100545,1098,168,小汽车,4.04,25.40,22.46,0.01,4.73,1.52
5,100528,1240,343,小汽车,4.45,29.45,28.51,0.01,498.89,125.97
5,100537,1242,320,小汽车,4.38,28.75,14.24,0.01,2.10,1.06
5,100553,1246,308,小汽车,4.18,26.85,21.20,0.01,3.69,1.25
5,100560,1244,299,小汽车,4.60,31.00,19.77,0.01,3.17,1.16
5,100578,1249,277,小汽车,4.86,33.60,22.52,0.01,3.73,1.19
5,100590,1251,257,小汽车,4.72,32.25,22.98,0.01,3.87,1.21
5,100591,1247,252,小汽车,4.31,28.10,21.64,0.01,3.73,1.24
5,100601,1253,232,小汽车,4.78,32.80,23.37,0.01,3.95,1.22
5,100606,1395,370,小汽车,4.07,25.65,25.34,0.01,498.98,141.79
5,100618,1400,352,小汽车,4.45,29.45,23.84,0.01,4.35,1.31
5,100627,1396,329,小汽车,4.83,33.35,25.11,0.01,4.39,1.26
5,100629,1402,332,小汽车,4.89,33.90,24.34,0.01,4.14,1.22
5,100635,1398,319,小汽车,4.43,29.35,24.19,0.01,4.51,1.34
5,100655,1404,297,小汽车,4.82,33.15,24.50,0.01,4.24,1.24
