统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,900001,199,120,社会大巴/公交车,12.33,25.00,25.00,0.00,993.83,3600.00
2,900002,343,114,社会大巴/公交车,12.44,25.00,25.00,0.00,993.78,3600.00
2,900003,489,110,社会大巴/公交车,11.83,25.00,25.00,0.00,994.09,3600.00
3,900004,637,108,社会大巴/公交车,12.23,25.00,25.00,0.01,993.89,3600.00
3,900005,791,101,社会大巴/公交车,11.51,25.00,12.47,0.17,994.24,3600.00
4,900006,946,100,社会大巴/公交车,11.73,25.00,14.12,0.13,994.13,3600.00
4,900007,1101,93,社会大巴/公交车,11.41,25.00,12.45,0.06,994.30,3600.00
5,900008,1256,92,社会大巴/公交车,11.92,25.00,14.12,0.06,994.04,3600.00
5,900009,1411,86,社会大巴/公交车,11.44,25.00,12.45,0.04,994.28,3600.00
6,900010,1566,87,社会大巴/公交车,12.04,25.00,14.12,0.04,993.98,3600.00
6,900011,1721,85,社会大巴/公交车,11.47,25.00,12.45,0.03,994.27,3600.00
7,900012,1876,87,社会大巴/公交车,11.60,25.00,14.12,0.04,994.20,3600.00
7,900013,2031,85,社会大巴/公交车,12.44,25.00,15.72,0.04,993.78,3600.00
8,900014,2186,87,社会大巴/公交车,12.34,25.00,15.72,0.04,993.83,3600.00
