统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,500001,170,51,社会大巴/公交车,12.36,25.00,10.73,0.01,993.82,3600.00
1,500002,207,51,社会大巴/公交车,12.12,25.00,25.00,0.00,993.94,3600.00
2,500003,356,51,社会大巴/公交车,11.47,25.00,25.00,0.00,994.26,3600.00
2,500004,506,51,社会大巴/公交车,11.41,25.00,25.00,0.00,994.29,3600.00
3,500005,656,51,社会大巴/公交车,12.40,25.00,25.00,0.00,993.80,3600.00
3,500006,806,51,社会大巴/公交车,11.91,25.00,25.00,0.00,994.04,3600.00
4,500007,957,51,社会大巴/公交车,11.76,25.00,25.00,0.00,994.12,3600.00
4,500008,1106,51,社会大巴/公交车,11.51,25.00,25.00,0.00,994.25,3600.00
5,500009,1257,51,社会大巴/公交车,12.31,25.00,24.99,0.04,993.84,3600.00
5,500010,1410,52,社会大巴/公交车,12.53,25.00,12.19,0.24,993.73,3600.00
6,500011,1565,51,社会大巴/公交车,11.70,25.00,7.23,0.00,994.15,3600.00
6,500012,1720,51,社会大巴/公交车,11.95,25.00,7.19,0.00,994.03,3600.00
7,500013,1875,51,社会大巴/公交车,11.73,25.00,7.19,0.00,994.13,3600.00
7,500014,2030,52,社会大巴/公交车,12.25,25.00,8.97,0.00,993.88,3600.00
8,500015,2185,51,社会大巴/公交车,12.02,25.00,8.97,0.00,993.99,3600.00
8,500016,2340,51,社会大巴/公交车,11.71,25.00,7.19,0.00,994.15,3600.00
