统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100004,145,44,小汽车,4.93,34.35,18.49,2.89,6.82,1.33
1,100008,54,40,小汽车,4.43,29.30,6.62,0.00,997.79,3600.00
1,100011,147,39,小汽车,4.84,33.40,23.46,0.93,7.81,1.20
1,100020,148,39,小汽车,4.39,28.95,22.83,0.47,7.71,1.22
1,100021,150,41,小汽车,4.36,28.55,22.18,0.34,7.45,1.21
1,100030,152,37,小汽车,4.97,34.70,22.39,0.35,7.17,1.15
1,100031,154,101,小汽车,4.54,30.40,22.42,0.33,7.35,1.18
1,100036,156,101,小汽车,4.67,31.65,22.55,0.30,7.32,1.17
1,100047,158,80,小汽车,4.54,30.45,22.42,0.29,7.36,1.18
1,100050,159,79,小汽车,4.62,31.15,22.36,0.28,7.28,1.17
1,100051,161,76,小汽车,4.68,31.80,22.46,0.27,7.28,1.17
1,100062,164,56,小汽车,4.29,27.90,25.88,0.00,13.93,1.94
1,100067,166,48,小汽车,4.71,32.05,25.55,0.02,9.16,1.29
1,100071,173,44,小汽车,4.41,29.10,28.11,0.00,20.79,2.66
1,100072,170,40,小汽车,4.45,29.50,28.38,0.00,20.97,2.66
1,100081,190,39,小汽车,4.34,28.45,7.88,0.00,997.83,3600.00
1,100087,300,40,小汽车,4.42,29.25,17.41,2.77,6.01,1.24
2,100091,301,42,小汽车,4.30,28.05,20.42,0.85,6.65,1.17
2,100093,303,43,小汽车,4.72,32.25,21.43,0.47,6.85,1.15
2,100101,305,38,小汽车,4.62,31.15,21.63,0.41,6.94,1.15
2,100107,307,39,小汽车,4.55,30.50,21.81,0.35,7.06,1.16
2,100111,309,103,小汽车,4.05,25.50,20.94,0.26,7.39,1.27
2,100120,313,93,小汽车,4.48,29.80,21.27,0.30,6.87,1.16
2,100121,311,90,小汽车,4.97,34.75,21.32,0.27,6.79,1.15
2,100130,315,81,小汽车,4.88,33.75,21.73,0.30,6.91,1.15
2,100131,316,83,小汽车,4.86,33.60,21.94,0.32,7.01,1.15
2,100136,318,78,小汽车,4.79,32.95,22.22,0.29,7.13,1.15
2,100147,320,61,小汽车,4.56,30.60,22.81,0.17,7.61,1.20
2,100150,322,56,小汽车,4.73,32.30,22.97,0.16,7.52,1.18
2,100151,324,58,小汽车,4.25,27.50,23.00,0.08,8.63,1.35
2,100162,328,47,小汽车,4.28,27.80,26.68,0.00,19.35,2.61
2,100167,331,46,小汽车,4.67,31.65,5.05,0.00,14.53,10.35
2,100171,455,39,小汽车,4.49,29.90,18.93,2.81,6.61,1.26
2,100172,457,39,小汽车,4.62,31.20,22.13,0.93,7.31,1.19
2,100181,458,39,小汽车,4.41,29.05,22.13,0.47,7.32,1.19
2,100187,460,35,小汽车,4.86,33.55,22.42,0.40,7.19,1.15
2,100191,462,45,小汽车,4.03,25.30,21.33,0.27,7.75,1.31
2,100193,464,116,小汽车,4.97,34.70,21.59,0.28,6.88,1.15
2,100201,466,104,小汽车,4.46,29.55,21.44,0.30,6.97,1.17
2,100207,468,93,小汽车,4.59,30.90,21.59,0.28,6.95,1.16
2,100211,470,91,小汽车,4.74,32.40,21.82,0.29,6.99,1.15
2,100220,471,77,小汽车,4.46,29.65,21.97,0.24,7.24,1.19
2,100221,473,74,小汽车,4.04,25.40,21.66,0.13,8.26,1.37
2,100230,475,62,小汽车,4.02,25.20,21.24,0.09,8.01,1.36
2,100231,479,65,小汽车,4.19,26.90,21.09,0.09,7.29,1.24
2,100239,477,54,小汽车,4.07,25.70,21.16,0.07,7.74,1.32
2,100250,484,47,小汽车,4.75,32.55,26.74,0.00,10.67,1.44
2,100253,481,40,小汽车,4.58,30.80,22.22,0.00,7.38,1.20
3,100256,610,44,小汽车,4.16,26.60,17.88,2.81,6.06,1.22
3,100263,611,50,小汽车,4.10,26.00,20.02,0.69,6.61,1.19
3,100267,613,48,小汽车,4.21,27.15,19.92,0.40,6.43,1.16
3,100271,615,44,小汽车,4.05,25.55,19.48,0.33,6.41,1.18
3,100272,617,44,小汽车,4.55,30.55,19.81,0.33,6.24,1.13
3,100282,619,117,小汽车,4.29,27.95,19.82,0.32,6.35,1.15
3,100287,621,115,小汽车,4.80,33.00,20.41,0.33,6.45,1.14
3,100291,623,109,小汽车,4.38,28.80,20.46,0.31,6.57,1.16
3,100293,624,106,小汽车,4.06,25.60,20.15,0.22,6.85,1.22
3,100301,626,94,小汽车,4.06,25.60,19.83,0.19,6.68,1.21
3,100305,630,94,小汽车,4.08,25.80,20.26,0.10,7.00,1.24
3,100314,634,85,小汽车,4.47,29.75,23.32,0.00,8.35,1.29
3,100315,628,76,小汽车,4.14,26.40,19.60,0.20,6.42,1.18
3,100328,648,76,小汽车,4.51,30.10,7.12,0.00,997.75,3600.00
3,100330,632,59,小汽车,4.38,28.75,21.73,0.00,7.45,1.23
3,100339,636,52,小汽车,4.79,32.85,25.57,0.00,9.31,1.31
3,100347,770,79,小汽车,4.26,27.60,21.26,0.35,7.07,1.20
3,100348,765,57,小汽车,4.83,33.25,18.66,2.90,6.78,1.31
3,100354,767,56,小汽车,4.12,26.15,21.13,0.76,7.19,1.23
3,100357,768,55,小汽车,4.75,32.45,21.62,0.44,6.93,1.15
3,100361,772,87,小汽车,4.23,27.30,20.84,0.29,6.91,1.19
3,100364,774,153,小汽车,4.53,30.25,20.83,0.30,6.67,1.15
3,100365,778,156,小汽车,4.17,26.75,20.47,0.25,6.82,1.20
3,100372,780,143,小汽车,4.93,34.30,20.87,0.29,6.63,1.14
3,100380,783,131,小汽车,4.49,29.90,21.62,0.25,7.04,1.17
3,100381,776,121,小汽车,4.29,27.90,20.77,0.28,6.81,1.18
3,100385,793,132,小汽车,4.00,25.05,25.05,0.00,998.00,3600.00
3,100395,782,110,小汽车,4.80,33.05,21.40,0.32,6.79,1.14
3,100415,814,113,小汽车,4.60,31.00,7.14,0.00,997.70,3600.00
4,100397,920,145,小汽车,4.83,33.25,18.80,2.96,6.85,1.31
4,100411,929,231,小汽车,4.96,34.55,22.25,0.32,7.10,1.15
4,100416,925,122,小汽车,4.99,34.90,22.35,0.36,7.14,1.15
4,100420,931,216,小汽车,4.29,27.85,21.82,0.27,7.40,1.22
4,100425,935,210,小汽车,4.52,30.20,21.95,0.28,7.16,1.17
4,100426,922,96,小汽车,4.36,28.60,22.35,0.81,7.55,1.22
4,100429,933,201,小汽车,4.86,33.55,21.92,0.28,7.01,1.15
4,100433,923,88,小汽车,4.28,27.80,21.66,0.43,7.23,1.20
4,100440,927,90,小汽车,4.32,28.20,21.78,0.33,7.28,1.20
4,100448,939,182,小汽车,4.50,30.00,27.61,0.00,15.14,1.97
4,100461,936,162,小汽车,4.17,26.70,21.92,0.16,7.89,1.30
4,100468,951,166,小汽车,4.69,31.90,5.82,0.00,9.83,6.08
4,100473,942,150,小汽车,4.14,26.40,25.18,0.01,15.48,2.21
4,100478,946,139,小汽车,4.69,31.90,24.15,0.09,8.20,1.22
4,100480,944,132,小汽车,4.28,27.80,24.46,0.03,10.28,1.51
4,100482,1075,138,小汽车,4.34,28.45,17.86,2.93,6.16,1.24
4,100494,1077,129,小汽车,4.78,32.75,22.06,0.94,7.27,1.19
4,100496,948,103,小汽车,4.86,33.60,26.41,0.00,9.57,1.30
4,100500,1080,126,小汽车,4.20,27.00,20.86,0.31,6.95,1.20
4,100509,1082,118,小汽车,4.58,30.80,20.89,0.32,6.67,1.15
4,100510,1084,216,小汽车,4.64,31.40,21.16,0.33,6.75,1.15
4,100519,1078,97,小汽车,4.17,26.65,21.46,0.42,7.32,1.23
4,100524,1088,193,小汽车,4.55,30.55,20.92,0.27,6.69,1.15
4,100531,1091,178,小汽车,4.88,33.75,21.73,0.32,6.91,1.14
4,100533,1086,168,小汽车,4.18,26.85,20.93,0.27,7.05,1.21
4,100548,1090,154,小汽车,4.76,32.60,21.31,0.31,6.77,1.14
4,100549,1096,161,小汽车,4.71,32.15,23.02,0.06,7.59,1.19
4,100554,1094,150,小汽车,4.07,25.70,23.23,0.03,10.65,1.65
4,100558,1098,152,小汽车,4.43,29.30,25.09,0.00,10.26,1.47
4,100579,1109,132,小汽车,4.25,27.55,8.23,0.00,997.87,3600.00
5,100569,1233,157,小汽车,4.28,27.75,21.12,0.40,6.96,1.19
5,100570,1232,153,小汽车,4.25,27.55,21.40,0.75,7.14,1.20
5,100577,1237,152,小汽车,4.22,27.25,20.74,0.31,6.86,1.19
5,100583,1230,125,小汽车,4.96,34.60,19.18,2.71,6.79,1.27
5,100585,1239,245,小汽车,4.38,28.85,20.65,0.29,6.66,1.16
5,100587,1235,130,小汽车,4.49,29.85,21.08,0.35,6.78,1.16
5,100593,1241,236,小汽车,4.08,25.75,20.29,0.25,6.89,1.22
5,100605,1244,215,小汽车,4.20,26.95,19.82,0.23,6.46,1.17
5,100611,1246,210,小汽车,4.86,33.55,20.23,0.28,6.41,1.14
5,100615,1250,204,小汽车,4.79,32.85,21.82,0.10,7.02,1.16
5,100620,1249,189,小汽车,4.12,26.20,21.87,0.05,8.24,1.36
5,100621,1253,194,小汽车,4.28,27.75,24.53,0.00,10.94,1.60
5,100622,1243,182,小汽车,4.11,26.05,19.94,0.22,6.64,1.20
5,100633,1255,173,小汽车,4.29,27.90,24.39,0.00,10.25,1.51
5,100641,1261,172,小汽车,4.57,30.70,5.77,0.00,16.23,10.12
5,100651,1257,150,小汽车,4.97,34.75,24.21,0.05,7.95,1.18
5,100652,1388,159,社会大巴/公交车,11.89,24.05,21.62,0.29,9.77,1.63
5,100662,1390,140,小汽车,4.97,34.70,22.14,0.14,7.10,1.15
5,100667,1385,116,小汽车,4.48,29.80,18.79,2.75,6.53,1.25
5,100669,1392,241,小汽车,4.76,32.65,22.15,0.24,7.12,1.16
5,100671,1396,244,小汽车,4.33,28.25,21.53,0.23,7.19,1.20
5,100674,1394,242,小汽车,4.42,29.25,21.91,0.24,7.25,1.19
5,100678,1397,243,小汽车,4.39,28.90,21.36,0.22,7.02,1.18
5,100689,1399,228,小汽车,4.51,30.10,21.29,0.25,6.87,1.16
5,100697,1405,221,小汽车,4.58,30.80,21.48,0.01,7.00,1.17
5,100702,1403,214,社会大巴/公交车,11.81,23.45,20.92,0.09,10.15,1.75
5,100709,1411,214,小汽车,4.83,33.30,24.04,0.00,8.03,1.20
5,100713,1409,207,小汽车,4.57,30.65,24.03,0.00,8.64,1.29
5,100722,1413,188,小汽车,4.06,25.60,23.78,0.02,12.36,1.87
5,100726,1407,174,小汽车,4.62,31.15,21.67,0.10,7.03,1.17
5,100739,1416,159,小汽车,4.33,28.35,8.15,0.00,8.33,3.68
6,100730,1541,182,小汽车,4.20,26.95,19.58,0.72,6.33,1.16
6,100748,1540,147,小汽车,4.14,26.40,16.34,2.79,5.48,1.21
6,100750,1545,145,小汽车,4.86,33.60,20.89,0.40,6.62,1.14
6,100753,1543,141,小汽车,4.42,29.20,20.01,0.45,6.36,1.14
6,100757,1547,137,小汽车,4.78,32.80,21.44,0.39,6.80,1.14
6,100765,1551,245,小汽车,4.64,31.40,21.51,0.30,6.90,1.15
6,100769,1553,241,小汽车,4.46,29.55,21.48,0.28,6.99,1.17
6,100775,1554,235,小汽车,4.47,29.70,21.37,0.27,6.93,1.17
6,100780,1556,235,小汽车,4.56,30.60,22.24,0.15,7.33,1.19
6,100784,1549,220,小汽车,4.47,29.70,21.46,0.32,6.95,1.17
6,100789,1559,231,小汽车,4.22,27.25,25.26,0.00,13.60,1.94
6,100791,1563,231,小汽车,4.48,29.80,23.86,0.06,8.51,1.28
6,100803,1561,216,小汽车,4.15,26.50,24.23,0.02,11.59,1.72
6,100810,1572,213,小汽车,4.51,30.15,7.25,0.00,19.81,9.84
6,100812,1568,207,小汽车,4.68,31.85,30.69,0.00,24.93,2.92
6,100815,1695,202,小汽车,4.86,33.55,18.66,2.91,6.81,1.31
6,100823,1697,192,小汽车,4.71,32.05,22.97,0.97,7.64,1.20
6,100824,1698,193,小汽车,4.45,29.50,22.86,0.47,7.64,1.20
6,100835,1704,302,小汽车,4.47,29.75,21.66,0.30,7.06,1.17
6,100844,1700,168,小汽车,4.33,28.35,22.21,0.33,7.49,1.21
6,100848,1702,162,小汽车,4.41,29.10,21.84,0.30,7.21,1.19
6,100849,1709,282,小汽车,4.40,29.00,21.99,0.27,7.32,1.20
6,100858,1708,262,小汽车,4.60,31.00,22.23,0.31,7.22,1.17
6,100869,1706,240,小汽车,4.93,34.30,22.17,0.32,7.07,1.15
6,100874,1721,250,小汽车,4.94,34.40,24.72,0.11,8.19,1.19
6,100878,1711,228,小汽车,4.40,29.00,21.84,0.23,7.25,1.20
6,100888,1723,221,小汽车,4.49,29.85,24.57,0.11,9.00,1.32
6,100889,1715,212,小汽车,4.65,31.50,29.27,0.00,17.29,2.13
6,100893,1717,207,小汽车,4.13,26.30,25.47,0.01,18.16,2.57
6,100898,1719,200,小汽车,4.45,29.50,24.93,0.04,9.63,1.39
6,100900,1728,207,小汽车,4.38,28.75,8.15,0.00,17.30,7.64
