统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100006,54,41,小汽车,4.65,31.50,2.47,0.00,997.67,3600.00
1,100016,79,38,小汽车,4.51,30.10,20.22,2.61,7.12,1.27
1,100025,84,40,小汽车,4.35,28.50,28.19,0.00,35.81,4.57
1,100042,110,40,小汽车,4.33,28.30,28.30,0.00,997.84,3600.00
1,100045,119,46,小汽车,4.02,25.20,25.20,0.00,997.99,3600.00
1,100057,143,43,小汽车,4.26,27.65,27.65,0.00,997.87,3600.00
1,100066,160,42,小汽车,4.55,30.55,1.76,0.00,997.72,3600.00
1,100076,234,34,小汽车,4.93,34.35,21.13,2.62,7.70,1.31
1,100077,236,37,小汽车,4.84,33.40,24.26,0.85,8.14,1.21
1,100086,238,44,小汽车,4.12,26.15,22.30,0.36,8.10,1.31
1,100092,239,39,小汽车,4.54,30.45,22.00,0.30,7.16,1.17
1,100106,241,47,小汽车,4.04,25.45,21.13,0.23,7.57,1.29
1,100125,281,58,小汽车,4.31,28.10,28.10,0.00,997.85,3600.00
1,100126,261,35,小汽车,4.74,32.40,32.40,0.00,997.63,3600.00
1,100141,295,47,小汽车,4.92,34.15,30.20,0.00,14.47,1.73
1,400002,292,88,社会大巴/公交车,11.86,25.00,25.00,0.00,994.07,3600.00
2,100155,389,56,小汽车,4.13,26.25,19.26,2.70,6.32,1.18
2,100157,318,42,小汽车,4.70,32.00,1.80,0.00,997.65,3600.00
2,100176,391,40,小汽车,4.36,28.55,20.77,0.67,6.78,1.17
2,100186,392,38,小汽车,4.57,30.65,21.06,0.44,6.73,1.15
2,100192,429,85,小汽车,4.99,34.85,34.85,0.00,997.51,3600.00
2,100197,396,43,小汽车,4.29,27.90,27.02,0.00,21.94,2.92
2,100206,443,73,小汽车,4.17,26.65,26.65,0.00,997.92,3600.00
2,100225,450,47,小汽车,4.67,31.70,31.42,0.00,50.16,5.75
2,100236,545,54,小汽车,4.16,26.60,21.77,0.29,7.66,1.27
2,100248,547,44,小汽车,4.54,30.45,21.54,0.27,6.97,1.16
2,100255,551,69,小汽车,4.31,28.10,20.84,0.27,6.83,1.18
2,100266,549,48,小汽车,4.28,27.80,21.00,0.30,6.93,1.19
2,100276,564,77,小汽车,4.96,34.65,34.65,0.00,997.52,3600.00
2,100292,579,63,小汽车,4.41,29.05,29.05,0.00,997.80,3600.00
2,100307,589,52,小汽车,4.29,27.85,27.85,0.00,997.86,3600.00
2,400003,543,107,社会大巴/公交车,12.06,25.00,21.78,0.07,993.97,3600.00
3,100286,606,103,小汽车,4.33,28.30,28.30,0.00,997.84,3600.00
3,100297,618,94,小汽车,4.25,27.50,3.80,0.00,997.88,3600.00
3,100313,701,91,小汽车,4.83,33.35,23.10,0.80,7.63,1.19
3,100322,703,101,小汽车,4.07,25.65,21.61,0.34,7.71,1.28
3,100334,704,83,小汽车,4.37,28.65,21.16,0.28,6.91,1.18
3,100336,699,52,小汽车,4.95,34.50,20.04,2.74,7.04,1.27
3,100349,725,131,小汽车,4.48,29.80,28.21,0.02,16.44,2.10
3,100360,706,54,小汽车,4.21,27.05,20.65,0.28,6.85,1.19
3,100369,723,98,小汽车,4.50,30.05,30.05,0.00,997.75,3600.00
3,100370,766,134,小汽车,4.91,34.05,34.05,0.00,997.55,3600.00
3,100371,713,81,小汽车,4.80,33.05,32.53,0.00,42.13,4.66
3,100377,784,134,小汽车,4.32,28.20,3.82,0.00,997.84,3600.00
3,100387,854,135,小汽车,4.16,26.55,18.95,2.46,6.22,1.18
3,100391,857,150,小汽车,4.92,34.25,20.76,0.43,6.61,1.15
3,100394,859,149,小汽车,4.41,29.05,20.85,0.38,6.68,1.15
3,100401,855,130,小汽车,4.13,26.35,19.60,0.66,6.37,1.17
3,100417,867,158,小汽车,4.63,31.30,20.81,0.12,6.65,1.15
3,100419,861,113,小汽车,4.33,28.30,20.73,0.33,6.71,1.17
3,100421,895,182,小汽车,4.45,29.50,29.14,0.01,32.25,3.98
3,100452,870,103,社会大巴/公交车,12.39,28.25,21.35,0.14,8.02,1.35
3,100460,883,112,小汽车,4.21,27.15,27.15,0.00,997.89,3600.00
3,100498,891,43,小汽车,4.86,33.55,33.28,0.00,56.84,6.15
3,400004,735,231,社会大巴/公交车,12.36,25.00,25.00,0.00,993.82,3600.00
3,400005,865,209,社会大巴/公交车,12.12,25.00,20.38,0.15,13.35,2.36
4,100435,905,167,小汽车,4.63,31.35,30.45,0.01,23.66,2.80
4,100439,902,155,小汽车,4.74,32.40,32.12,0.00,49.16,5.51
4,100441,1011,200,小汽车,4.42,29.20,21.92,0.75,7.24,1.19
4,100447,918,162,小汽车,4.72,32.20,32.20,0.00,997.64,3600.00
4,100457,1012,192,小汽车,4.33,28.35,21.69,0.47,7.15,1.19
4,100466,908,130,小汽车,4.76,32.65,31.54,0.00,24.04,2.74
4,100484,937,117,小汽车,4.45,29.50,3.23,0.00,997.77,3600.00
4,100491,1014,130,小汽车,4.92,34.15,22.24,0.39,7.06,1.14
4,100505,1018,158,小汽车,4.95,34.45,21.80,0.32,6.94,1.15
4,100506,1016,114,小汽车,4.17,26.75,21.52,0.31,7.39,1.24
4,100511,1009,77,小汽车,4.63,31.25,19.60,2.56,6.86,1.26
4,100515,1030,157,小汽车,4.47,29.70,29.43,0.00,48.06,5.88
4,100521,1043,157,小汽车,4.00,25.05,25.05,0.00,998.00,3600.00
4,100532,1045,132,小汽车,4.73,32.30,24.99,0.00,8.72,1.26
4,100551,1164,158,小汽车,4.18,26.85,19.52,2.29,7.52,1.39
4,100552,1169,167,社会大巴/公交车,11.77,23.05,20.92,0.17,10.08,1.74
4,100555,1088,143,小汽车,4.78,32.75,2.52,0.00,997.61,3600.00
4,100561,1171,216,小汽车,4.88,33.75,21.29,0.11,6.79,1.15
4,100571,1166,132,小汽车,4.66,31.55,22.12,0.68,7.25,1.18
4,100575,1179,210,小汽车,4.78,32.80,20.94,0.09,6.68,1.15
4,100594,1173,168,小汽车,4.73,32.30,21.32,0.22,6.81,1.15
4,100595,1181,170,小汽车,4.64,31.40,20.96,0.20,6.70,1.15
4,100602,1184,158,社会大巴/公交车,12.11,25.95,21.19,0.11,8.65,1.47
4,100617,1187,135,小汽车,4.75,32.55,25.23,0.00,9.27,1.32
4,100631,1196,116,小汽车,4.32,28.20,28.02,0.00,54.44,6.99
4,400006,1022,216,社会大巴/公交车,11.47,25.00,21.06,0.13,14.31,2.45
4,400007,1177,221,社会大巴/公交车,11.41,25.00,20.68,0.10,13.79,2.40
5,100612,1319,207,小汽车,4.89,33.95,19.08,2.45,6.86,1.29
5,100634,1203,120,小汽车,4.10,26.00,25.89,0.00,49.20,6.84
5,100646,1218,121,小汽车,4.91,34.10,34.10,0.00,997.54,3600.00
5,100649,1321,151,小汽车,4.91,34.10,22.86,0.78,7.52,1.18
5,100650,1324,154,小汽车,4.74,32.40,23.39,0.39,7.63,1.17
5,100656,1326,154,小汽车,4.29,27.90,22.63,0.28,7.91,1.26
5,100672,1323,107,小汽车,4.92,34.15,23.44,0.48,7.60,1.17
5,100673,1224,75,小汽车,4.65,31.50,31.34,0.00,55.39,6.36
5,100677,1328,174,小汽车,4.00,25.00,21.35,0.19,8.01,1.35
5,100679,1234,77,小汽车,4.14,26.45,4.37,0.00,997.93,3600.00
5,100684,1330,161,小汽车,4.92,34.25,21.46,0.24,6.83,1.15
5,100698,1342,157,小汽车,4.44,29.40,29.04,0.00,40.74,5.05
5,100706,1386,193,小汽车,4.09,25.90,25.90,0.00,12.97,1.80
5,100711,1384,184,小汽车,4.04,25.45,25.45,0.00,997.98,3600.00
5,100715,1481,211,小汽车,4.99,34.90,23.28,0.37,7.46,1.15
5,100721,1485,261,小汽车,4.22,27.20,22.45,0.24,8.00,1.28
5,100732,1391,148,小汽车,4.58,30.75,2.43,0.00,27.75,41.17
5,100740,1479,159,小汽车,4.67,31.75,22.80,0.39,7.41,1.17
5,100743,1474,131,小汽车,4.97,34.70,21.17,2.66,7.76,1.32
5,100747,1483,213,小汽车,4.63,31.35,23.19,0.34,7.60,1.18
5,100749,1487,209,小汽车,4.39,28.90,22.04,0.23,7.37,1.20
5,100758,1489,195,小汽车,4.95,34.45,22.32,0.27,7.13,1.15
5,100762,1478,106,小汽车,4.89,33.95,22.92,0.42,7.40,1.16
5,100763,1476,98,小汽车,4.26,27.60,22.58,0.67,7.83,1.25
5,100771,1491,177,小汽车,4.25,27.55,21.96,0.23,7.59,1.24
5,100793,1492,159,小汽车,4.48,29.80,21.84,0.23,7.15,1.18
5,100805,1497,148,小汽车,4.81,33.10,25.49,0.00,8.88,1.25
5,100813,1495,127,小汽车,4.68,31.85,25.73,0.00,9.74,1.36
5,100828,1498,109,小汽车,4.74,32.40,25.40,0.05,8.93,1.27
5,400008,1334,229,社会大巴/公交车,12.40,25.00,20.96,0.10,14.49,2.49
6,100792,1632,231,小汽车,4.33,28.25,20.69,0.43,6.69,1.16
6,100822,1634,183,小汽车,4.20,27.00,20.37,0.34,6.68,1.18
6,100831,1510,117,小汽车,4.13,26.30,26.30,0.00,997.93,3600.00
6,100832,1629,159,小汽车,4.20,27.00,18.05,2.29,6.02,1.20
6,100837,1631,156,小汽车,4.55,30.55,20.61,0.76,6.59,1.15
6,100845,1550,136,小汽车,4.21,27.15,4.50,0.00,997.89,3600.00
6,100846,1636,154,小汽车,4.89,33.95,20.84,0.36,6.61,1.14
6,100850,1513,78,小汽车,5.00,35.00,32.80,0.00,20.92,2.30
6,100853,1638,198,小汽车,4.81,33.10,21.46,0.36,6.81,1.14
6,100865,1644,187,小汽车,4.83,33.25,21.71,0.09,6.96,1.16
6,100873,1642,171,小汽车,4.11,26.05,20.59,0.22,7.04,1.23
6,100877,1646,165,小汽车,4.29,27.90,23.73,0.00,9.47,1.44
6,100884,1640,147,小汽车,4.21,27.05,21.12,0.28,7.12,1.21
6,100892,1652,146,小汽车,4.90,34.00,33.30,0.00,38.47,4.16
6,100897,1658,143,小汽车,4.92,34.25,33.88,0.00,45.32,4.82
6,100908,1672,134,小汽车,4.10,26.00,26.00,0.00,997.95,3600.00
6,100917,1786,170,小汽车,4.75,32.55,21.51,0.67,6.96,1.16
6,100918,1787,177,小汽车,4.29,27.90,21.05,0.40,6.91,1.18
6,100921,1682,119,小汽车,4.83,33.30,33.28,0.01,997.58,3600.00
6,100938,1714,119,小汽车,4.71,32.10,1.55,0.00,997.64,3600.00
6,100945,1684,82,小汽车,5.00,35.00,31.96,0.02,15.48,1.74
6,100947,1784,112,小汽车,4.01,25.15,18.90,2.37,6.44,1.23
6,100957,1789,120,小汽车,4.57,30.70,21.15,0.37,6.75,1.15
6,100964,1791,111,小汽车,4.91,34.10,21.70,0.36,6.90,1.14
6,100993,1793,116,小汽车,4.07,25.70,20.99,0.26,7.36,1.26
7,100931,1815,232,小汽车,4.60,31.00,30.50,0.00,33.99,4.01
7,100952,1828,216,社会大巴/公交车,11.46,20.50,20.50,0.00,994.27,3600.00
7,100963,1810,181,小汽车,5.00,35.00,28.15,0.01,10.29,1.32
7,100987,1808,137,小汽车,4.33,28.30,28.30,0.00,997.84,3600.00
7,100994,1847,168,小汽车,4.39,28.90,28.90,0.00,997.80,3600.00
7,101000,1939,183,小汽车,4.45,29.50,20.19,2.68,6.77,1.21
7,101006,1941,186,小汽车,4.70,31.95,22.50,0.83,7.35,1.18
7,101010,1831,133,小汽车,4.76,32.65,24.83,0.00,9.11,1.32
7,101011,1820,122,小汽车,4.82,33.15,32.64,0.00,37.52,4.14
7,101028,1944,164,小汽车,4.83,33.25,21.91,0.36,6.98,1.15
7,101038,1948,208,小汽车,4.08,25.80,20.63,0.23,7.11,1.24
7,101042,2100,282,小汽车,4.21,27.15,23.58,0.00,9.83,1.50
7,101044,1863,103,小汽车,4.54,30.35,1.75,0.00,997.73,3600.00
7,101055,1942,111,小汽车,4.19,26.90,21.69,0.41,7.38,1.22
