统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100012,174.90,237.10,62.20,153.99,41.12,26.30
1,1,300,100038,179.20,239.40,60.20,154.31,39.39,26.70
2,301,600,100061,330.10,391.50,61.40,154.31,41.67,28.15
2,301,600,100082,332.00,393.10,61.10,154.41,44.00,32.50
2,301,600,100112,337.20,396.40,59.20,154.41,36.96,25.00
2,301,600,100138,483.80,545.40,61.60,153.99,44.98,33.35
2,301,600,100161,487.80,549.20,61.40,153.99,39.53,25.35
2,301,600,100182,491.80,551.40,59.60,154.31,39.21,27.25
2,301,600,100212,495.40,552.50,57.10,154.31,39.52,31.60
3,601,900,100235,636.90,700.20,63.30,153.99,47.23,34.50
3,601,900,100262,645.60,702.60,57.00,153.99,40.20,33.00
3,601,900,100281,649.50,704.60,55.10,154.41,37.92,32.35
3,601,900,100318,793.40,855.70,62.30,153.99,44.67,31.45
3,601,900,100329,797.80,858.30,60.50,153.99,41.61,29.35
3,601,900,100344,800.80,860.70,59.90,153.99,39.44,27.10
3,601,900,100356,802.60,862.60,60.00,153.99,43.18,32.95
3,601,900,100386,804.80,864.50,59.70,154.31,39.65,27.70
4,901,1200,100396,952.90,1010.60,57.70,153.99,40.51,32.25
4,901,1200,100412,954.60,1012.70,58.10,154.31,41.71,33.90
4,901,1200,100431,958.40,1015.40,57.00,153.99,37.20,28.00
4,901,1200,100446,960.60,1017.80,57.20,153.99,36.24,26.45
4,901,1200,100459,1099.80,1165.60,65.80,153.99,48.42,31.90
4,901,1200,100472,1102.50,1168.00,65.50,153.99,47.96,31.60
4,901,1200,100479,1111.20,1172.70,61.50,153.99,41.45,27.65
4,901,1200,100488,1109.00,1170.80,61.80,153.99,41.08,26.75
4,901,1200,100495,1113.10,1174.60,61.50,153.99,43.47,30.75
4,901,1200,100516,1114.70,1176.40,61.70,154.41,45.54,34.40
5,1201,1500,100537,1260.40,1322.90,62.50,153.99,43.22,28.75
5,1201,1500,100553,1265.10,1327.00,61.90,153.99,41.25,26.85
5,1201,1500,100560,1262.30,1324.90,62.60,153.99,44.72,31.00
5,1201,1500,100590,1270.90,1330.60,59.70,154.41,42.46,32.25
5,1201,1500,100591,1267.30,1328.80,61.50,153.99,41.77,28.10
5,1201,1500,100606,1413.50,1477.30,63.80,153.99,42.19,25.65
5,1201,1500,100629,1420.90,1480.40,59.50,153.99,43.15,33.90
5,1201,1500,100635,1417.20,1478.80,61.60,153.99,42.71,29.35
5,1201,1500,100655,1422.60,1482.30,59.70,153.99,42.98,33.15
5,1201,1500,100668,1424.60,1484.40,59.80,153.99,41.74,30.70
5,1201,1500,100693,1427.20,1486.50,59.30,153.99,39.21,27.60
6,1501,1800,100695,1570.10,1630.30,60.20,153.99,43.68,33.55
6,1501,1800,100710,1575.50,1633.60,58.10,153.99,38.01,27.60
6,1501,1800,100728,1577.30,1634.90,57.60,153.99,41.27,33.95
6,1501,1800,100746,1579.80,1637.70,57.90,153.99,37.52,27.20
6,1501,1800,100761,1582.50,1640.00,57.50,154.31,35.80,25.60
6,1501,1800,100779,1584.70,1642.20,57.50,154.41,36.68,26.70
6,1501,1800,100798,1730.60,1789.30,58.70,153.99,36.87,25.40
6,1501,1800,100799,1724.90,1786.30,61.40,153.99,42.15,28.80
6,1501,1800,100809,1734.30,1790.60,56.30,153.99,39.14,32.30
6,1501,1800,100830,1739.40,1794.40,55.00,153.99,37.73,32.10
6,1501,1800,100860,1737.40,1792.40,55.00,154.38,38.77,34.25
7,1801,2100,100870,1878.80,1941.20,62.40,153.99,43.54,29.40
7,1801,2100,100886,1881.10,1943.30,62.20,153.99,43.63,29.85
7,1801,2100,100899,1883.10,1945.40,62.30,153.99,44.78,31.65
7,1801,2100,100910,1884.90,1946.80,61.90,153.99,45.25,33.30
7,1801,2100,100936,1887.30,1949.20,61.90,154.31,42.81,29.10
7,1801,2100,100940,1890.30,1951.80,61.50,154.31,40.34,26.25
7,1801,2100,100965,2030.90,2096.10,65.20,153.99,46.53,29.70
7,1801,2100,100978,2038.20,2100.50,62.30,153.99,42.78,28.40
7,1801,2100,100984,2035.60,2098.20,62.60,153.99,45.65,32.70
8,2101,2400,100988,2041.10,2102.90,61.80,153.99,40.92,26.55
8,2101,2400,101004,2042.90,2104.70,61.80,153.99,45.05,33.10
8,2101,2400,101036,2184.30,2250.40,66.10,153.99,49.30,33.00
8,2101,2400,101046,2044.80,2106.50,61.70,153.99,43.93,31.20
8,2101,2400,101077,2192.10,2253.90,61.80,153.99,40.96,26.60
8,2101,2400,101085,2199.40,2258.20,58.80,153.99,40.10,29.65
8,2101,2400,101092,2195.00,2256.20,61.20,153.99,39.67,25.75
8,2101,2400,101103,2203.30,2259.90,56.60,153.99,36.18,27.15
8,2101,2400,101142,2205.10,2261.90,56.80,153.99,38.26,29.90
8,2101,2400,101157,2206.80,2263.80,57.00,154.31,38.01,29.25
