统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100005,168.90,191.80,22.90,209.93,0.10,33.15
1,1,300,100016,170.40,195.40,25.00,208.81,0.03,30.10
1,1,300,100026,176.40,201.50,25.10,209.93,0.28,30.45
1,1,300,100035,175.50,206.10,30.60,208.81,0.53,25.00
1,1,300,100045,184.80,214.80,30.00,208.81,0.17,25.20
1,1,300,300001,158.30,184.30,26.00,207.72,0.08,28.85
1,1,300,300002,175.30,201.10,25.80,207.72,0.15,29.15
1,1,300,300003,179.10,202.10,23.00,207.72,1.29,34.45
1,1,300,400001,188.90,218.90,30.00,207.72,0.09,25.00
2,301,600,100055,325.20,350.20,25.00,209.93,0.18,30.45
2,301,600,100066,325.10,351.30,26.20,208.81,1.59,30.55
2,301,600,100077,326.20,348.80,22.60,207.72,0.21,33.40
2,301,600,100086,334.00,362.90,28.90,209.13,0.11,26.15
2,301,600,100097,327.40,352.00,24.60,209.55,1.60,32.80
2,301,600,100105,333.60,363.20,29.60,207.72,0.16,25.40
2,301,600,100116,339.00,368.80,29.80,208.81,0.61,25.75
2,301,600,100126,335.40,365.00,29.60,207.72,6.52,32.40
2,301,600,100135,481.60,508.90,27.30,209.93,0.16,27.85
2,301,600,100146,354.40,380.10,25.70,209.93,0.12,29.55
2,301,600,100155,482.70,511.40,28.70,208.81,0.06,26.25
2,301,600,100165,484.80,513.70,28.90,208.81,2.89,28.90
2,301,600,100177,489.10,517.60,28.50,210.02,0.18,26.70
2,301,600,100186,488.80,515.90,27.10,207.72,2.70,30.65
2,301,600,100197,486.70,513.60,26.90,207.72,0.10,27.90
2,301,600,100204,493.40,519.00,25.60,209.49,0.42,29.95
2,301,600,300004,317.20,344.40,27.20,207.72,0.06,27.55
2,301,600,300005,337.60,365.40,27.80,207.72,4.06,31.50
2,301,600,300006,400.10,476.20,76.10,207.72,50.14,28.80
