统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100005,31.50,192.10,160.60,799.48,73.78,33.15
1,1,300,100016,51.10,195.80,144.70,798.84,49.16,30.10
1,1,300,100026,68.50,201.90,133.40,799.48,38.88,30.45
1,1,300,100035,83.90,206.50,122.60,798.74,7.58,25.00
1,1,300,100045,100.80,215.20,114.40,798.79,0.29,25.20
1,1,300,400001,101.90,219.40,117.50,798.17,2.56,25.00
2,301,600,100055,120.90,350.50,229.60,799.90,135.03,30.45
2,301,600,100066,142.30,351.60,209.30,799.31,115.11,30.55
2,301,600,100077,160.60,349.10,188.50,799.11,102.37,33.40
2,301,600,100086,189.50,363.30,173.80,799.38,63.75,26.15
2,301,600,100097,204.00,352.30,148.30,801.18,60.37,32.80
2,301,600,100105,217.60,363.60,146.00,798.58,32.81,25.40
2,301,600,100116,240.60,369.20,128.60,799.07,16.88,25.75
2,301,600,100126,246.40,365.40,119.00,798.41,30.29,32.40
2,301,600,100135,265.70,509.20,243.50,799.90,140.10,27.85
2,301,600,100146,280.90,380.50,99.60,800.67,2.06,29.55
2,301,600,100155,312.50,511.80,199.30,800.21,89.56,26.25
2,301,600,100165,313.70,514.10,200.40,798.73,100.90,28.90
2,301,600,100177,335.90,518.10,182.20,800.23,74.30,26.70
2,301,600,100186,353.50,516.30,162.80,799.20,68.93,30.65
2,301,600,100197,379.00,514.00,135.00,799.63,31.82,27.90
2,301,600,100204,393.40,519.40,126.00,799.87,29.86,29.95
2,301,600,400002,270.40,391.50,121.10,802.20,5.58,25.00
3,601,900,100216,410.40,665.20,254.80,799.05,149.04,27.20
3,601,900,100226,446.50,658.30,211.80,800.53,122.16,32.15
3,601,900,100236,446.10,672.50,226.40,800.82,118.02,26.60
3,601,900,100244,465.30,665.20,199.90,801.32,104.54,30.25
3,601,900,100254,480.30,668.20,187.90,799.47,89.67,29.30
3,601,900,100266,492.20,673.90,181.70,800.33,78.06,27.80
3,601,900,100277,520.70,677.00,156.30,799.46,50.68,27.25
3,601,900,100286,589.60,691.50,101.90,800.21,0.11,28.30
3,601,900,100297,599.80,819.70,219.90,799.31,115.26,27.50
3,601,900,100306,604.70,817.40,212.70,800.89,113.45,29.05
3,601,900,100313,621.50,819.60,198.10,800.84,111.65,33.35
3,601,900,100336,619.00,815.50,196.50,798.33,113.20,34.50
3,601,900,100338,657.50,824.90,167.40,798.47,77.29,31.90
3,601,900,100345,628.20,822.80,194.60,798.70,94.24,28.65
3,601,900,100355,667.60,822.70,155.10,802.12,71.52,34.55
3,601,900,100360,645.80,828.60,182.80,799.54,76.39,27.05
3,601,900,100371,690.20,825.90,135.70,801.89,48.35,33.05
3,601,900,100375,676.90,829.80,152.90,800.92,48.81,27.70
3,601,900,400003,441.50,673.50,232.00,799.95,116.81,25.00
3,601,900,400004,640.00,838.90,198.90,802.03,83.41,25.00
4,901,1200,100379,695.60,968.10,272.50,801.52,183.30,32.35
4,901,1200,100387,777.90,976.40,198.50,799.66,90.07,26.55
4,901,1200,100391,798.10,971.70,173.60,800.33,89.48,34.25
4,901,1200,100403,777.80,983.30,205.50,799.48,90.83,25.10
4,901,1200,100408,817.60,982.30,164.70,799.60,66.96,29.45
4,901,1200,100417,827.90,986.30,158.40,798.86,66.52,31.30
4,901,1200,100419,805.10,978.90,173.80,800.77,71.94,28.30
4,901,1200,100430,805.00,979.40,174.40,798.78,89.57,33.90
4,901,1200,100432,841.30,993.70,152.40,800.85,41.94,26.10
4,901,1200,100441,888.40,1127.00,238.60,799.93,139.98,29.20
4,901,1200,100452,836.40,996.00,159.60,800.34,57.61,28.25
4,901,1200,100460,865.70,996.00,130.30,800.99,24.09,27.15
4,901,1200,100475,853.80,1132.90,279.10,799.48,177.94,28.45
4,901,1200,100484,919.10,1126.60,207.50,799.88,109.89,29.50
4,901,1200,100490,873.40,986.60,113.20,799.94,28.25,33.90
4,901,1200,100498,877.00,988.80,111.80,799.46,26.02,33.55
4,901,1200,100511,927.40,1128.10,200.70,800.31,108.50,31.25
4,901,1200,100515,973.30,1138.70,165.40,800.77,68.34,29.70
4,901,1200,100530,975.20,1132.60,157.40,801.04,62.07,30.25
4,901,1200,100545,989.30,1147.10,157.80,797.88,44.71,25.40
4,901,1200,400005,814.70,991.10,176.40,804.22,60.59,25.00
4,901,1200,400006,965.40,1139.70,174.30,801.85,58.83,25.00
5,1201,1500,100528,990.50,1283.40,292.90,801.68,194.90,29.45
5,1201,1500,100551,1000.90,1285.60,284.70,798.35,177.66,26.85
5,1201,1500,100555,1071.70,1278.50,206.80,799.56,118.91,32.75
