统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,600001,26.30,119.70,93.40,145.55,72.44,25.00
1,1,300,600002,176.50,276.10,99.60,155.61,77.19,25.00
2,301,600,600003,326.50,430.40,103.90,150.57,82.22,25.00
2,301,600,600004,476.50,585.40,108.90,150.57,87.22,25.00
3,601,900,600005,626.50,739.70,113.20,145.55,92.24,25.00
3,601,900,600006,776.50,894.70,118.20,145.55,97.24,25.00
4,901,1200,600007,926.50,1051.10,124.60,155.61,102.19,25.00
5,1201,1500,600008,1076.50,1204.70,128.20,145.55,107.24,25.00
5,1201,1500,600009,1226.50,1248.30,21.80,150.57,0.12,25.00
5,1201,1500,600010,1376.50,1399.00,22.50,155.61,0.09,25.00
6,1501,1800,600011,1526.50,1547.60,21.10,145.55,0.14,25.00
6,1501,1800,600012,1676.50,1697.60,21.10,145.55,0.14,25.00
7,1801,2100,600013,1826.50,1847.60,21.10,145.55,0.14,25.00
7,1801,2100,600014,1976.50,1999.00,22.50,155.61,0.09,25.00
8,2101,2400,600015,2126.50,2149.00,22.50,155.61,0.09,25.00
8,2101,2400,600016,2276.50,2298.30,21.80,150.57,0.12,25.00
