统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100003,99.20,160.80,61.60,189.54,40.18,31.85
1,1,300,100005,98.40,160.50,62.10,188.32,41.65,33.15
1,1,300,100010,113.00,163.60,50.60,189.54,26.01,27.75
1,1,300,100012,105.60,163.80,58.20,188.32,32.42,26.30
1,1,300,100015,116.70,165.60,48.90,189.54,26.34,30.25
1,1,300,100016,103.00,161.00,58.00,188.97,35.40,30.10
1,1,300,100019,120.30,167.40,47.10,189.54,27.52,34.85
1,1,300,100024,123.80,169.30,45.50,189.54,24.70,32.80
1,1,300,100026,108.10,165.70,57.60,188.32,35.34,30.45
1,1,300,100029,127.40,171.20,43.80,189.54,23.64,33.85
1,1,300,100034,132.30,173.00,40.70,189.54,21.01,34.65
1,1,300,100035,130.30,164.20,33.90,188.72,6.72,25.00
1,1,300,100038,133.00,167.90,34.90,188.32,9.51,26.70
1,1,300,100040,152.50,182.00,29.50,189.54,7.52,31.05
1,1,300,100044,157.30,184.50,27.20,189.54,1.25,26.30
1,1,300,100045,146.50,173.60,27.10,188.92,0.11,25.20
1,1,300,100049,150.70,180.20,29.50,189.54,5.81,28.80
1,1,300,100054,165.20,190.10,24.90,189.54,0.18,27.60
1,1,300,400001,148.00,177.60,29.60,189.54,2.31,25.00
2,301,600,100055,255.20,316.00,60.80,188.32,38.54,30.45
2,301,600,100059,253.30,315.50,62.20,189.54,41.71,33.30
2,301,600,100061,259.40,318.60,59.20,188.32,35.12,28.15
2,301,600,100064,261.70,320.70,59.00,189.54,36.37,30.15
2,301,600,100066,255.00,315.90,60.90,188.92,38.64,30.55
2,301,600,100069,268.10,325.60,57.50,189.54,30.21,25.00
2,301,600,100074,269.90,328.50,58.60,189.54,38.85,34.55
2,301,600,100077,259.50,317.70,58.20,190.04,37.72,33.40
2,301,600,100079,276.00,330.30,54.30,189.54,30.65,28.85
2,301,600,100082,261.30,320.70,59.40,188.32,38.54,32.50
2,301,600,100084,280.00,332.10,52.10,189.54,31.30,32.80
2,301,600,100086,264.70,323.10,58.40,189.17,32.36,26.15
2,301,600,100089,283.70,334.00,50.30,189.54,28.64,31.50
2,301,600,100095,288.50,335.80,47.30,189.54,21.06,26.00
2,301,600,100097,263.20,318.00,54.80,189.32,34.02,32.80
2,301,600,100099,290.30,337.70,47.40,189.54,24.23,29.45
2,301,600,100104,298.30,339.60,41.30,189.54,14.38,25.35
2,301,600,100105,267.50,322.10,54.60,188.72,27.85,25.40
2,301,600,100110,302.00,341.40,39.40,189.54,19.03,33.50
2,301,600,100112,280.60,325.30,44.70,188.32,17.58,25.00
2,301,600,100115,305.60,343.40,37.80,189.54,17.46,33.55
2,301,600,100116,285.70,327.30,41.60,188.32,15.27,25.75
2,301,600,100119,323.00,349.60,26.60,189.54,0.31,25.95
2,301,600,100124,414.40,472.20,57.80,189.54,30.94,25.40
2,301,600,100126,282.00,323.90,41.90,188.92,20.91,32.40
2,301,600,100128,421.10,479.10,58.00,189.54,31.60,25.85
2,301,600,100134,422.80,481.20,58.40,189.54,37.88,33.25
2,301,600,100135,412.20,471.50,59.30,188.32,34.96,27.85
2,301,600,100138,414.10,473.40,59.30,188.32,38.97,33.35
2,301,600,100140,313.90,345.30,31.40,189.54,9.25,30.80
2,301,600,100144,428.70,483.10,54.40,189.54,31.03,29.20
2,301,600,100146,321.90,344.90,23.00,188.32,0.06,29.55
2,301,600,100149,416.30,474.20,57.90,189.54,36.87,32.45
2,301,600,100154,436.30,486.90,50.60,189.54,29.70,32.65
2,301,600,100155,415.60,472.00,56.40,188.92,30.49,26.25
2,301,600,100159,434.50,485.00,50.50,189.54,26.89,28.90
2,301,600,100161,418.80,476.20,57.40,188.32,30.66,25.35
2,301,600,100164,441.80,488.80,47.00,189.54,26.13,32.70
2,301,600,100165,420.80,474.00,53.20,188.71,29.69,28.90
2,301,600,100169,445.50,490.70,45.20,189.54,23.05,30.80
2,301,600,100174,449.90,492.60,42.70,189.54,17.89,27.50
2,301,600,100177,423.20,478.30,55.10,188.32,29.71,26.70
2,301,600,100179,453.80,494.50,40.70,189.54,18.97,31.40
2,301,600,100182,425.30,480.20,54.90,188.32,30.02,27.25
2,301,600,100184,456.00,496.30,40.30,189.54,17.78,30.30
2,301,600,100186,419.80,476.30,56.50,190.02,34.18,30.65
2,301,600,100189,466.50,498.30,31.80,189.54,7.77,28.40
2,301,600,100195,475.60,502.50,26.90,189.54,0.30,25.65
2,301,600,100197,422.40,476.10,53.70,188.92,29.32,27.90
2,301,600,100204,432.50,482.10,49.60,188.41,26.95,29.95
2,301,600,100212,438.50,483.80,45.30,188.32,23.85,31.60
2,301,600,400002,322.30,349.60,27.30,188.92,0.10,25.00
3,601,900,100199,563.80,625.60,61.80,189.54,40.84,32.55
3,601,900,100205,571.90,628.40,56.50,189.54,32.72,28.70
3,601,900,100210,574.00,630.40,56.40,189.54,33.95,30.40
3,601,900,100215,583.40,636.80,53.40,189.54,29.99,29.15
3,601,900,100216,569.80,626.70,56.90,188.72,31.92,27.20
3,601,900,100219,589.00,641.60,52.60,189.54,29.43,29.45
