统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,900001,191.20,210.70,19.50,134.11,0.19,25.00
2,301,600,900002,335.40,354.90,19.50,134.11,0.19,25.00
2,301,600,900003,481.00,500.50,19.50,134.11,0.19,25.00
3,601,900,900004,629.20,649.20,20.00,134.11,0.69,25.00
3,601,900,900005,773.00,803.30,30.30,134.11,10.99,25.00
4,901,1200,900006,921.00,957.80,36.80,134.11,17.49,25.00
4,901,1200,900007,1065.00,1112.80,47.80,134.11,28.49,25.00
5,1201,1500,900008,1213.10,1268.20,55.10,134.11,35.79,25.00
5,1201,1500,900009,1357.60,1425.40,67.80,134.11,48.49,25.00
6,1501,1800,900010,1508.60,1577.60,69.00,134.11,49.69,25.00
6,1501,1800,900011,1656.40,1734.40,78.00,134.11,58.69,25.00
7,1801,2100,900012,1808.40,1887.70,79.30,134.11,59.99,25.00
7,1801,2100,900013,1956.80,2044.60,87.80,134.11,68.49,25.00
8,2101,2400,900014,2108.60,2199.90,91.30,134.11,71.99,25.00
