统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,500001,46.60,184.30,137.70,160.21,114.63,25.00
1,1,300,500002,196.80,220.10,23.30,160.60,0.17,25.00
2,301,600,500003,346.70,369.90,23.20,159.89,0.18,25.00
2,301,600,500004,496.70,519.90,23.20,159.89,0.18,25.00
3,601,900,500005,646.80,670.10,23.30,160.21,0.23,25.00
3,601,900,500006,796.80,820.10,23.30,160.21,0.23,25.00
4,901,1200,500007,946.80,970.10,23.30,160.61,0.17,25.00
4,901,1200,500008,1096.80,1120.10,23.30,160.21,0.23,25.00
5,1201,1500,500009,1246.80,1270.50,23.70,159.89,0.68,25.00
5,1201,1500,500010,1396.90,1424.30,27.40,160.61,4.27,25.00
6,1501,1800,500011,1546.80,1579.20,32.40,160.21,9.33,25.00
6,1501,1800,500012,1696.80,1734.20,37.40,160.21,14.33,25.00
7,1801,2100,500013,1846.80,1889.20,42.40,160.21,19.33,25.00
7,1801,2100,500014,1996.80,2044.30,47.50,160.60,24.37,25.00
8,2101,2400,500015,2146.80,2199.20,52.40,160.60,29.27,25.00
