统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100004,39.00,153.00,114.00,188.61,94.23,34.35
1,1,300,100008,36.90,151.10,114.20,188.18,91.08,29.30
1,1,300,100011,41.10,154.90,113.80,188.18,93.52,33.40
1,1,300,100020,59.40,157.10,97.70,188.18,74.30,28.95
1,1,300,100021,62.20,159.30,97.10,188.82,73.29,28.55
1,1,300,100030,72.50,161.10,88.60,188.82,69.01,34.70
1,1,300,100031,77.40,163.00,85.60,188.61,63.26,30.40
1,1,300,100036,79.80,164.80,85.00,188.50,63.56,31.65
1,1,300,100047,103.80,166.80,63.00,188.82,40.68,30.45
1,1,300,100050,105.90,168.60,62.70,188.93,40.87,31.15
1,1,300,100051,107.80,170.40,62.60,188.18,41.30,31.80
1,1,300,100062,133.30,172.80,39.50,188.18,15.22,27.90
1,1,300,100067,138.90,174.70,35.80,188.61,14.61,32.05
1,1,300,100071,156.50,180.70,24.20,188.93,0.83,29.10
1,1,300,100072,153.70,177.60,23.90,188.71,0.87,29.50
2,301,600,100081,173.20,306.30,133.10,188.18,109.29,28.45
2,301,600,100087,187.50,308.50,121.00,188.18,97.84,29.25
2,301,600,100091,195.10,310.60,115.50,188.50,91.31,28.05
2,301,600,100093,197.00,312.40,115.40,188.82,94.32,32.25
2,301,600,100101,202.30,314.30,112.00,188.18,90.25,31.15
2,301,600,100107,221.30,316.30,95.00,188.82,72.71,30.50
2,301,600,100111,231.10,318.60,87.50,188.50,60.89,25.50
2,301,600,100120,244.70,322.30,77.60,188.18,54.87,29.80
2,301,600,100121,242.50,320.30,77.80,188.82,58.24,34.75
2,301,600,100130,251.10,324.20,73.10,188.18,53.03,33.75
2,301,600,100131,253.90,325.90,72.00,188.82,51.77,33.60
2,301,600,100136,261.50,327.60,66.10,188.18,45.54,32.95
2,301,600,100147,283.80,329.50,45.70,188.82,23.49,30.60
2,301,600,100150,286.80,331.30,44.50,188.82,23.45,32.30
2,301,600,100151,292.20,333.40,41.20,188.50,16.52,27.50
2,301,600,100162,310.00,336.20,26.20,188.18,1.83,27.80
2,301,600,100167,311.80,460.60,148.80,188.71,127.34,31.65
2,301,600,100171,318.10,463.10,145.00,188.18,122.34,29.90
2,301,600,100172,320.40,465.00,144.60,188.82,122.81,31.20
2,301,600,100181,346.80,467.20,120.40,188.82,97.00,29.05
2,301,600,100187,353.40,469.10,115.70,188.50,95.47,33.55
2,301,600,100191,365.00,471.60,106.60,188.18,79.82,25.30
2,301,600,100193,366.80,473.30,106.50,188.50,86.94,34.70
2,301,600,100201,389.10,475.30,86.20,188.71,63.21,29.55
2,301,600,100207,396.00,477.30,81.30,188.82,59.30,30.90
2,301,600,100211,403.10,479.00,75.90,188.50,54.96,32.40
2,301,600,100220,416.90,480.80,63.90,188.93,40.96,29.65
2,301,600,100221,424.80,483.10,58.30,188.50,31.58,25.40
2,301,600,100230,439.60,485.40,45.80,188.18,18.92,25.20
2,301,600,100231,453.50,489.30,35.80,188.93,10.52,26.90
2,301,600,100239,450.00,487.40,37.40,188.18,11.04,25.70
2,301,600,100253,462.30,491.20,28.90,188.18,6.90,30.80
3,601,900,100250,467.70,615.50,147.80,188.71,126.93,32.55
3,601,900,100256,472.40,618.60,146.20,188.18,120.73,26.60
3,601,900,100263,489.80,621.00,131.20,189.48,104.96,26.00
3,601,900,100267,495.30,623.00,127.70,188.61,102.69,27.15
3,601,900,100271,509.40,625.20,115.80,188.18,89.28,25.55
3,601,900,100272,511.30,626.90,115.60,188.82,93.35,30.55
3,601,900,100282,524.80,628.80,104.00,188.18,79.76,27.95
3,601,900,100287,526.60,630.70,104.10,188.18,83.57,33.00
3,601,900,100291,536.20,632.50,96.30,188.82,72.70,28.80
3,601,900,100293,545.10,634.60,89.50,188.18,63.04,25.60
3,601,900,100301,557.50,636.60,79.10,188.18,52.64,25.60
3,601,900,100305,610.70,640.70,30.00,190.03,3.48,25.80
3,601,900,100314,617.20,644.20,27.00,188.96,4.13,29.75
3,601,900,100315,576.10,638.60,62.50,188.18,36.84,26.40
3,601,900,100328,630.70,770.90,140.20,189.13,117.58,30.10
3,601,900,100330,614.80,642.40,27.60,188.18,4.04,28.75
3,601,900,100339,621.20,646.10,24.90,188.18,4.28,32.85
3,601,900,100347,651.80,779.60,127.80,188.96,103.15,27.60
3,601,900,100348,635.20,772.90,137.70,188.18,117.33,33.25
3,601,900,100354,641.40,775.70,134.30,188.18,108.39,26.15
3,601,900,100357,643.30,777.40,134.10,188.18,113.22,32.45
3,601,900,100361,679.70,781.60,101.90,189.24,76.95,27.30
3,601,900,100364,681.70,783.50,101.80,189.03,79.30,30.25
3,601,900,100365,686.40,787.50,101.10,188.61,75.72,26.75
3,601,900,100372,692.40,789.20,96.80,188.50,77.02,34.30
3,601,900,100380,755.80,792.90,37.10,188.71,14.38,29.90
3,601,900,100381,684.00,785.60,101.60,188.18,77.32,27.90
3,601,900,100385,774.60,803.50,28.90,189.61,1.65,25.05
3,601,900,100395,694.60,791.20,96.60,188.18,76.10,33.05
