统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,100002,36.60,93.30,56.70,214.82,24.94,24.35
1,1,300,100003,30.60,87.80,57.20,214.18,32.99,31.85
1,1,300,100005,31.90,87.50,55.60,214.45,32.31,33.15
1,1,300,100006,38.00,87.90,49.90,214.73,25.36,31.50
1,1,300,100009,42.50,95.90,53.40,214.18,25.61,27.75
1,1,300,100010,44.90,97.90,53.00,214.50,25.17,27.75
1,1,300,100012,47.30,91.60,44.30,215.20,14.84,26.30
1,1,300,100014,46.60,99.70,53.10,214.92,30.24,33.85
1,1,300,100015,50.80,101.60,50.80,214.18,25.31,30.25
1,1,300,100016,51.50,90.60,39.10,214.31,13.47,30.10
1,1,300,100018,52.80,103.40,50.60,214.18,28.57,35.00
1,1,300,100019,55.00,105.30,50.30,214.50,28.14,34.85
1,1,300,100023,63.30,107.10,43.80,214.82,21.58,34.80
1,1,300,100024,65.70,109.00,43.30,214.18,19.79,32.80
1,1,300,100025,68.50,95.90,27.40,214.31,0.33,28.50
1,1,300,100026,68.90,94.90,26.00,214.45,0.65,30.45
1,1,300,100028,71.10,110.80,39.70,214.50,15.90,32.45
1,1,300,100029,73.20,112.60,39.40,214.82,16.55,33.85
1,1,300,100033,81.00,115.80,34.80,214.18,4.56,25.50
1,1,300,100034,84.80,117.60,32.80,214.50,10.51,34.65
1,1,300,100035,84.40,115.70,31.30,214.45,0.42,25.00
1,1,300,100038,87.90,118.60,30.70,215.40,1.66,26.70
1,1,300,100039,86.80,119.60,32.80,214.50,6.62,29.50
1,1,300,100040,104.80,137.90,33.10,214.82,8.19,31.05
1,1,300,100042,93.80,121.10,27.30,214.31,0.04,28.30
1,1,300,100043,108.50,139.70,31.20,214.82,8.49,34.05
1,1,300,100044,110.80,142.90,32.10,214.18,2.78,26.30
1,1,300,100045,101.30,132.10,30.80,214.31,0.18,25.20
1,1,300,100048,114.40,144.90,30.50,214.60,5.04,30.35
1,1,300,100049,103.20,136.00,32.80,215.02,5.92,28.80
1,1,300,100053,116.20,146.70,30.50,214.50,8.25,34.70
1,1,300,100054,122.00,151.90,29.90,214.82,1.88,27.60
1,1,300,100055,121.30,243.30,122.00,214.88,96.60,30.45
1,1,300,100057,126.50,154.50,28.00,214.73,0.04,27.65
1,1,300,100058,128.60,157.00,28.40,214.50,0.37,27.55
1,1,300,100059,130.30,242.50,112.20,214.82,88.98,33.30
1,1,300,100061,130.30,246.20,115.90,214.88,88.42,28.15
1,1,300,100063,137.40,246.20,108.80,214.18,80.66,27.40
1,1,300,100064,139.40,248.30,108.90,214.50,83.29,30.15
1,1,300,100066,142.70,243.20,100.50,214.83,75.18,30.55
1,1,300,100068,147.90,250.50,102.60,214.82,75.03,28.05
1,1,300,100069,154.70,253.30,98.60,214.50,67.71,25.00
1,1,300,100073,161.00,257.20,96.20,214.82,67.24,26.70
1,1,300,100074,158.50,255.00,96.50,214.18,74.18,34.55
1,1,300,100076,158.00,245.20,87.20,214.62,64.71,34.35
1,1,300,100077,161.00,247.30,86.30,214.62,63.17,33.40
1,1,300,100078,165.10,259.00,93.90,214.50,68.03,29.85
1,1,300,100079,168.00,260.90,92.90,214.82,66.09,28.85
1,1,300,100082,175.50,248.10,72.60,215.09,48.77,32.50
1,1,300,100083,181.00,263.00,82.00,214.50,52.69,26.35
1,1,300,100084,184.80,264.80,80.00,214.50,56.46,32.80
1,1,300,100086,190.00,250.60,60.60,214.31,31.10,26.15
1,1,300,100088,186.80,266.60,79.80,214.18,57.22,34.15
1,1,300,100089,189.90,268.50,78.60,214.50,54.09,31.50
1,1,300,100092,193.10,252.50,59.40,214.62,34.03,30.45
1,1,300,100094,201.80,270.90,69.10,214.50,39.05,25.70
1,1,300,100095,203.80,273.30,69.50,214.82,39.76,26.00
1,1,300,100097,204.40,250.00,45.60,214.73,22.03,32.80
1,1,300,100098,207.60,277.00,69.40,214.92,45.26,32.05
1,1,300,100099,205.80,275.20,69.40,214.18,43.22,29.45
1,1,300,100103,211.50,278.80,67.30,214.82,43.54,32.55
1,1,300,100104,250.80,283.80,33.00,214.18,2.58,25.35
1,1,300,100105,218.00,253.00,35.00,214.99,4.53,25.40
1,1,300,100106,220.20,255.10,34.90,214.62,4.54,25.45
1,1,300,100109,254.80,285.60,30.80,214.82,7.19,32.75
1,1,300,100110,256.90,287.40,30.50,214.18,7.48,33.50
1,1,300,100112,234.80,266.10,31.30,215.30,0.30,25.00
1,1,300,100114,260.60,289.60,29.00,214.82,4.80,31.95
1,1,300,100115,262.60,291.60,29.00,214.18,6.02,33.55
1,1,300,100116,241.10,271.50,30.40,214.88,0.36,25.75
1,1,300,100118,264.60,293.60,29.00,214.18,6.45,34.20
1,1,300,100123,266.40,295.60,29.20,214.82,6.65,34.30
1,1,300,100125,265.10,292.70,27.60,214.31,0.14,28.10
1,1,300,100126,246.80,270.80,24.00,214.62,0.15,32.40
1,1,300,100133,268.10,298.60,30.50,214.82,3.65,28.80
1,1,300,100140,272.00,300.70,28.70,214.82,3.59,30.80
1,1,300,400001,102.40,133.40,31.00,214.18,0.16,25.00
2,301,600,100119,276.10,308.80,32.70,214.50,2.94,25.95
2,301,600,100124,281.10,400.10,119.00,214.18,88.64,25.40
2,301,600,100128,288.10,406.30,118.20,214.18,88.37,25.85
2,301,600,100129,286.10,403.80,117.70,214.50,93.53,31.95
2,301,600,100134,291.80,408.10,116.30,214.18,93.11,33.25
2,301,600,100135,266.10,399.10,133.00,214.88,105.22,27.85
2,301,600,100138,268.60,401.10,132.50,215.09,109.28,33.35
2,301,600,100139,296.30,410.00,113.70,214.50,88.17,30.25
2,301,600,100141,280.40,307.20,26.80,215.08,4.13,34.15
2,301,600,100143,299.30,411.90,112.60,214.82,86.02,29.10
2,301,600,100144,303.90,413.80,109.90,214.18,83.49,29.20
2,301,600,100146,281.30,309.60,28.30,215.64,2.03,29.55
2,301,600,100148,307.80,415.70,107.90,214.60,83.14,31.20
2,301,600,100149,285.20,402.00,116.80,214.99,92.95,32.45
2,301,600,100153,309.80,417.70,107.90,214.18,80.46,28.10
2,301,600,100154,313.60,421.40,107.80,214.50,84.15,32.65
2,301,600,100155,313.00,401.70,88.70,215.73,59.11,26.25
2,301,600,100157,299.90,397.80,97.90,214.62,73.75,32.00
2,301,600,100158,319.40,423.20,103.80,214.18,78.89,30.95
2,301,600,100159,311.60,419.60,108.00,214.50,81.28,28.90
2,301,600,100161,308.20,404.30,96.10,214.88,65.58,25.35
2,301,600,100163,321.20,425.10,103.90,214.18,80.32,32.70
2,301,600,100164,323.10,426.90,103.80,214.50,80.19,32.70
2,301,600,100165,314.20,406.20,92.00,214.45,65.29,28.90
2,301,600,100168,326.70,429.00,102.30,214.82,75.86,29.25
2,301,600,100169,328.70,430.90,102.20,214.18,77.17,30.80
2,301,600,100173,332.60,432.80,100.20,214.50,77.45,33.95
2,301,600,100174,334.70,435.90,101.20,214.82,73.08,27.50
2,301,600,100176,332.80,403.80,71.00,214.31,43.98,28.55
2,301,600,100177,336.40,408.30,71.90,214.45,42.98,26.70
2,301,600,100178,406.40,438.20,31.80,214.18,6.10,30.00
2,301,600,100179,408.80,440.30,31.50,214.50,6.91,31.40
2,301,600,100182,350.20,410.40,60.20,214.77,31.83,27.25
2,301,600,100183,415.00,446.80,31.80,214.82,2.89,26.75
2,301,600,100184,413.20,442.80,29.60,214.18,4.15,30.30
2,301,600,100186,353.90,405.70,51.80,214.73,26.58,30.65
